mature	adj. 成熟的，深思熟虑的 v. 成熟
contrast	n. 对比，反差 v. 对比，对照
clinic	n. 诊所
award	v. 授予 n. 奖，奖品
worthwhile	adj. 值得的，有价值的
cruelty	n. 残暴，残酷
threaten	v. 威胁，恐吓，预示
chemical	adj. 化学的 n. 化学制品
consistent	adj. 一致的，一贯的
renew	v. 更新，恢复，重新开始
takeoff	n. 起飞
innocent	adj. 无辜的，天真的，清白的
currently	adv. 目前，当前
dropout	n. 辍学者
replace	v. 代替，取代，更换
sightseeing	n. 观光，游览
honor	n. 荣誉，敬意
imitate	v. 模仿，仿效
installment	n. 分期付款
personality	n. 个性，性格，名人
headquarter	v. 设立总部
ingredient	n. 成分，原料，要素
revenue	n. 收入，税收
sensitive	adj. 敏感的，灵敏的，易受伤害的
particular	adj. 特别的，特定的，挑剔的
tumor	n. 肿瘤
consequence	n. 结果，后果，重要性
explicitly	adv. 明确地
sway	v. 影响，摇摆 n. 摇摆，影响
technical	adj. 技术的
expert	adj. 熟练的，内行的 n. 专家
harm	n. 伤害，危害 v. 伤害，损害
imaginary	adj. 想象的，虚构的
contaminate	v. 污染，弄脏
soar	v. 猛增，高飞，高涨
solely	adv. 单独地，唯一地
tremendous	adj. 巨大的，极好的
civilization	n. 文明，文化
tough	adj. 困难的，坚强的，坚韧的
gift	n. 礼物，天赋
scale	n. 规模，刻度，天平 v. 攀登
injure	v. 伤害，损害
embrace	v. 拥抱，欣然接受，包括 n. 拥抱
seldom	adv. 很少，罕见
performance	n. 表演，表现，性能
violate	v. 违反，违背
associate	v. 联系，交往 n. 同事，伙伴 adj. 副的
privacy	n. 隐私
choke	v. 使窒息，塞住
capable	adj. 有能力的，能干的
appeal	n. 呼吁，吸引力，上诉 v. 呼吁，吸引，上诉
careless	adj. 粗心的
hit	n. 成功，击中 v. 打，击中
swallow	v. 吞下，咽下 n. 燕子，吞咽
consult	v. 咨询，请教，查阅
preservation	n. 保存，保护
distance	n. 距离，远处
plastic	adj. 塑料的 n. 塑料，塑料制品
predict	v. 预测，预言
submit	v. 提交，服从
entertainment	n. 娱乐，娱乐节目
critical	adj. 批评的，决定性的，关键的
transaction	n. 交易，业务
via	prep. 通过，经过
insist	v. 坚持，坚决要求
distract	v. 使分心
subdivision	n. 分支，分部
yield	v. 产生，出产，屈服 n. 产量
misunderstand	v. 误解，误会
detail	n. 细节 v. 详述
immeasurable	adj. 无法估量的
convincing	adj. 令人信服的
donate	v. 捐赠
compare	v. 比较，对照
item	n. 项目，条，条款
concrete	adj. 具体的 n. 混凝土
govern	v. 统治，管理，支配
classify	v. 分类，归类
restrict	v. 限制，约束
establish	v. 建立，确立，证实
counseling	n. 咨询服务
majority	n. 多数，大多数
contact	n. 联系，接触 v. 联系，接触
virtual	adj. 虚拟的，实际上的
simplicity	n. 简单，朴素
enrollment	n. 入学，注册
programming	n. 编程，程序设计，节目
device	n. 装置，设备，手段
previous	adj. 以前的，先前的
alter	v. 改变，变更
coach	n. 教练，长途汽车 v. 训练，指导
crisis	n. 危机，关键时刻
interconnect	v. 相互联系
enrich	v. 丰富，充实
poll	n. 民意调查，投票 v. 对…进行民意测验
consent	v. 同意，允许 n. 同意，赞同
utility	n. 公用事业，效用
poisonous	adj. 有毒的
collision	n. 碰撞，冲突
rank	v. 排列，分级 n. 等级，军衔，行列
fundamentally	adv. 根本上
inflation	n. 通货膨胀，膨胀
secure	v. 获得，使安全 adj. 安全的，可靠的，牢固的
interpret	v. 解释，口译
criticize	v. 批评，评论
arrest	v. 逮捕，拘留，阻止 n. 逮捕，拘留
afford	v. 负担得起，提供
implementation	n. 实施，执行
initiate	v. 开始，发起
enable	v. 使能够
narrow	adj. 狭窄的
overcharge	v. 多收费
shortcut	n. 捷径，近路
leisure	n. 闲暇，空闲
original	adj. 最初的，新颖的，原版的 n. 原件，原作
density	n. 密度，密集
sphere	n. 球体，范围
margin	n. 边缘，页边空白，余地
department	n. 部门，系
desire	n. 渴望，愿望 v. 渴望，要求
legend	n. 传奇，传说
dictator	n. 独裁者
diversity	n. 多样性，差异
quit	v. 停止，放弃，辞职
outgoing	adj. 外向的，开朗的
solution	n. 解决，办法，溶液
revenge	n. 报仇
reverse	n. 相反，反面 adj. 相反的，反向的 v. 颠倒，反转
enroll	v. 注册，入学，招收
logically	adv. 合乎逻辑地
rental	n. 租金
component	n. 组成部分，部件 adj. 组成的
quotation	n. 引文，引语，报价
faith	n. 信任，信仰
invalid	adj. 无效的
invade	v. 入侵，侵略
separately	adv. 分别地，另行
strain	v. 拉紧，扭伤，尽力 n. 压力，紧张，扭伤
accessible	adj. 可接近的，可获得的
lap	n. 膝部，一圈 v. 舔
character	n. 性格，角色，人物
widespread	adj. 普遍的，广泛的
rearrange	v. 重新安排
hospitalize	v. 住院，就医
avail	v. 有用，有益
instant	adj. 立即的，速溶的 n. 瞬间
democratic	adj. 民主的
barely	adv. 几乎不，仅仅
vanish	v. 消失，突然不见
caregiver	n. 照料者
