struggle	v. 搏斗
prohibitively	adv. 过分地
military	adj. 军事的，军用的 n. 军队
consequently	adv. 因此，所以
suffer	v. 遭受，忍受
visible	adj. 可见的
swift	adj. 迅速的，敏捷的
battle	n. 战役，斗争 v. 作战
liability	n. 责任
resistant	adj. 抵抗的，反抗的，耐…的
nutritious	adj. 营养的
constantly	adv. 不断地，时常地
familiar	adj. 熟悉的
terribly	adv. 可怕地，非常
restore	v. 修复，恢复，归还
refine	v. 精炼，提纯，改善
inspire	v. 鼓舞，激发，赋予灵感
comply	v. 遵从
justice	n. 公正，正义，司法
district	n. 地区，区域
installation	n. 安装，装置，设施
marvelous	adj. 了不起的，奇迹般的
provoke	v. 激怒，激起，引起
lobby	n. 大厅，休息室 v. 游说
interview	n. 面谈，会见 v. 采访，面试
release	v. 释放，发布，松开
explore	v. 探索，探究，探险
profound	adj. 深厚的
exploit	v. 剥削，利用，开采 n. 功绩
startup	n. 启动，开办
constructive	adj. 建设性的
unbearable	adj. 无法忍受的
laundry	n. 洗衣店，要洗的衣服，洗好的衣服
seize	v. 抓住，夺取，逮捕
poison	n. 毒药 v. 毒害，使中毒
bakery	n. 面包店
tent	n. 帐篷
wedding	n. 婚礼
fair	n. 集市 adj. 公平的，相当的
geographic	adj. 地理的
comprehensive	adj. 全面的，综合的，广泛的
riot	n. 暴乱，骚乱 v. 聚众闹事
conspicuous	adj. 显著的
block	v. 阻碍，堵塞 n. 街区
acute	adj. 敏锐的，严重的，急性的
endure	v. 忍受，忍耐，持续
assembly	n. 集会，装配，议会
opponent	n. 对手，对抗者
confront	v. 面对，正视，遭遇
stir	v. 搅拌，激起，煽动 n. 搅动，骚乱
rocket	n. 火箭 v. 猛增，迅速上升
attribute	v. 归因于，把…归因于 n. 属性
sentence	n. 判决 v. 判决
tempting	adj. 诱人的，吸引人的
commitment	n. 承诺，保证，献身
feasible	adj. 可行的，可能的
outcome	n. 结果，后果
diligent	adj. 勤奋的
deprive	v. 剥夺，使丧失
grid	n. 输电网
distribute	v. 分发，分布，分配
destruction	n. 破坏，毁灭
divide	v. 分开，分配，除 n. 分歧，分界线
highlight	v. 强调，突出 n. 最精彩的部分
justify	v. 证明…是正当的
announce	v. 宣布，宣告
proposal	n. 提议，建议，求婚
advisory	n. 警告，报告
mystery	n. 神秘，神秘的事物，谜
punctual	adj. 准时的
derive	v. 得到，取得，源于
harmony	n. 和谐，协调
unwilling	adj. 不愿意的
view	v. 看待
financial	adj. 金融的，财政的
priority	n. 优先，优先权，重点
impermanent	adj. 暂时的，不持久的
symbolize	v. 象征
bankrupt	adj. 破产的
intake	n. 摄入
addiction	n. 上瘾
productive	adj. 富有成效的
admire	v. 钦佩，赞赏，羡慕
reflect	v. 反映，反射，思考
underline	v. 强调，在…下划线
representative	n. 代表 adj. 典型的，代表性的
blame	v. 责备，责怪，把…归咎于
retrain	v. 再培训，再训练
tasteless	adj. 无味的
excessive	adj. 过度的，过多的
dishonest	adj. 不诚实的
caution	n. 小心，谨慎 v. 警告
glorious	adj. 光荣的，辉煌的，壮丽的
pointless	adj. 无意义的
significant	adj. 重要的，有意义的，相当数量的
mutual	adj. 相互的，共同的
temptation	n. 诱惑，引诱
passive	adj. 被动的，消极的
evolve	v. 进化，发展，演变
treasure	v. 珍爱 n. 财富，珍宝
shock	v. 使震惊
disservice	n. 帮倒忙，损害
ambitious	adj. 有雄心的，野心勃勃的
fancy	adj. 别致的，昂贵的 n. 想象力，爱好 v. 喜欢，想象
accumulate	v. 积累，堆积
fuss	n. 大惊小怪 v. 小题大做，忙乱
ultimately	adv. 最后，最终
showmanship	n. 主持演出的技巧
cancel	v. 取消，撤销
regulate	v. 管理，控制，调节
peer	n. 同龄人，同等地位的人 v. 凝视，仔细看
calculate	v. 计算，估计
virtually	adv. 几乎，实际上
accustom	v. 使习惯
retailer	n. 零售商
programmer	n. 程序设计员
advice	n. 建议，劝告，忠告
admiration	n. 钦佩，称赞
courageous	adj. 有勇气的
respectful	adj. 有礼貌的，尊重的
makeup	n. 化妆品
reservation	n. 预订，保留
apply	v. 申请，应用，适用
demonstrate	v. 证明，展示，说明
generation	n. 一代人，产生
chat	v. 聊天
ancient	adj. 古代的，古老的
evil	n. 邪恶，罪恶 adj. 坏的
indifferent	adj. 冷漠的，漠不关心的，一般的
namely	adv. 即，也就是
effect	n. 影响，效果，结果
devote	v. 奉献，致力于
appointment	n. 约会，任命，约定
appoint	v. 任命，委派，约定
resemble	v. 像，相似
assemble	v. 集合，组装，装配
expressiveness	n. 表达
visibility	n. 能见度，可见性
distracted	adj. 分心的
debt	n. 债务，欠债
substitute	n. 代替者，代用品 v. 代替，取代
insecure	adj. 不安全的
chap	n. 小伙子，家伙
selective	adj. 选择的，精选的
compensation	n. 补偿，赔偿
dilemma	n. 困境
foreseeable	adj. 可以预见的
inadequacy	n. 不足
guarantee	v. 保证，担保 n. 保证，担保
discrimination	n. 歧视，区别，辨别
