intense	adj. 强烈的，紧张的，热情的
facilitate	v. 促进，使便利
mislead	v. 误导，使误解
reassess	v. 重新评估
response	n. 反应，响应，回答
essay	n. 文章，短文，散文
stimulate	v. 刺激，激励，激发
dessert	n. 甜点，甜食
peaceful	adj. 和平的，平静的
regularly	adv. 定期地，有规律地
fascinate	v. 迷住，吸引
durability	n. 耐久性，持久
discover	v. 发现
constitute	v. 组成，构成
administrative	adj. 管理的
tremble	v. 颤抖，发抖 n. 颤抖，摇晃
ignorant	adj. 无知的，不知道的
decorate	v. 装饰，装潢，修饰
acquire	v. 获得，取得，学到
annual	adj. 每年的，一年一次的 n. 年报，年鉴
due	adj. 到期的，预期的，应有的
situation	n. 情况
archive	n. 档案，档案馆
incomparable	adj. 无比的，无可匹敌的
perspective	n. 视角，观点，远景
compete	v. 竞争，比赛
joint	adj. 共同的，联合的 n. 关节，接头
overload	n. 负担太重
mechanic	n. 机械师，技工，力学
distinguish	v. 区别，辨别，区分
vote	v. 投票，表决 n. 选票，投票
everlasting	adj. 永恒的
construction	n. 建筑，建造，结构
aggressive	adj. 好斗的，挑衅的，有进取心的
classification	n. 分类，类别
melt	v. 融化，熔化
detect	v. 察觉，检测，发现
discourage	v. 使气馁，阻止，劝阻
combination	n. 结合，联合，组合
grave	n. 坟墓 adj. 严重的，严肃的
malfunction	n. 失灵，故障
reduce	v. 减少，减小
respectively	adv. 分别地，各自地
forefinger	n. 食指
wise	adj. 明智的，聪明的
background	n. 背景，经历
symbol	n. 象征，符号，标志
quality	n. 质量，品质，特性
repave	v. 再铺，重新铺砌
downfall	n. 大雨
ring	n. 拳击台
planet	n. 行星
pension	n. 养老金，抚恤金
perception	n. 感知，认识，看法
facility	n. 设施，设备，场所
proportion	n. 比例，部分，均衡
involve	v. 涉及，包含，卷入
attempt	n. 尝试，企图 v. 尝试，试图
conventional	adj. 传统的，常规的，普通的
detailed	adj. 详细的
interpretation	n. 解释，说明，口译
guilt	n. 有罪，罪行
connectivity	n. 连接，联系
behave	v. 表现，举止，运转
instruct	v. 指导，指示，命令
infinite	adj. 无限的，无穷的
hazard	n. 危险，公害 v. 冒…风险
undervalue	v. 低估
specific	adj. 具体的，特定的，明确的 n. 细节
appealing	adj. 吸引人的
fitness	n. 健康
conclusion	n. 结论，结尾，推论
absent	adj. 缺席的，不在场的，心不在焉的
antique	n. 古董，古玩 adj. 古时的，过时的
myth	n. 神话
intervention	n. 干预，干涉
trace	n. 痕迹 v. 追踪，追溯
protest	v. 抗议，反对 n. 抗议
refuel	v. 加油，加燃料
tackle	v. 处理，对付 n. 用具
finance	n. 财政，金融 v. 资助，筹资
fine	v. 罚款 adj. 美好的，纤细的
indicate	v. 表明，表示，指出
dissatisfy	v. 使不满
expand	v. 扩大，膨胀
spontaneous	adj. 自发的
offense	n. 冒犯，犯罪，违法行为
abruptly	adv. 突然地
recycle	v. 回收利用，再循环
rude	adj. 粗鲁的，不礼貌的
contribute	v. 贡献，捐助，投稿
embarrass	v. 使窘迫，使尴尬
weaken	v. 削弱，减弱，变弱
mineral	n. 矿物，矿物质 adj. 矿物的
sticky	adj. 粘的，粘性的，湿热的
challenge	n. 挑战，艰巨的任务 v. 质疑，挑战
excess	n. 过量，过度 adj. 过量的，额外的
recruit	v. 招募，吸收 n. 新成员
overstate	v. 夸张，夸大
generalization	n. 概括
hub	n. 中心
conservative	adj. 保守的，守旧的 n. 保守的人
restock	v. 重新进货，再储存
convict	v. 证明…有罪，宣判…有罪 n. 囚犯
deepen	v. 加深，深化
tank	n. 坦克，水箱，油箱
negative	adj. 消极的，否定的，负的 n. 负数
accelerate	v. 加速，促进
territory	n. 领土，领域
impact	n. 影响，冲击，作用
distraction	n. 分心，消遣
resolve	v. 解决，决心 n. 决心
refuse	v. 拒绝
soluble	adj. 可溶的，可解决的
brave	adj. 勇敢的
hat	n. 帽子（一般指有边的）
beach	n. 海滩
authority	n. 权力，当局，权威
roast	v. 烤，烘 adj. 烤过的 n. 烤肉
amplify	v. 放大，扩大，增强
bulk	n. 大部分，体积，大批
put	v. 放，摆，使处于
stable	adj. 稳定的，不变的 n. 马厩
certificate	n. 证书，证件，文凭
dragon	n. 龙
accommodation	n. 住处，膳宿
december	n. 十二月
president	n. 总统，主席
lately	adv. 最近，不久前
down	adv. 向下，在下面
lake	n. 湖
nor	conj. 既不…也不…，也不
bench	n. 长凳，条凳
rug	n. 小地毯，毛毯
mirror	n. 镜子 v. 反映
draw	v. 画，划
net	n. 网，互联网
quiet	adj. 安静的，寂静的
water	n. 水 v. 浇水，灌溉
nervous	adj. 紧张的，神经的
nevertheless	adv. 然而，仍然
fight	v. 战斗，斗争
missing	adj. 失踪的，缺少的
lift	v. 举起，提高 n. 电梯
refrigerator	n. 冰箱
dirty	adj. 脏的，下流的
rent	n. 租金 v. 租，出租
abroad	adv. 在国外，到国外，在传播
offend	v. 冒犯，违反
belong	v. 属于
