mechanical	adj. 机械的，呆板的
describe	v. 描述，形容
author	n. 作者，作家
happy	adj. 快乐的，幸福的
glide	v. 滑动 n. 滑行
drain	v. 排干，放水 n. 排水沟
pen	n. 钢笔
nonsense	n. 胡说，废话
absolute	adj. 绝对的，完全的
sack	n. 麻袋 v. 解雇，洗劫
apparatus	n. 器械，仪器
next	adj. 下一个的，紧接着的
grace	n. 优美，优雅，风度 v. 使优美
preface	n. 序言，前言
tone	n. 语气，音调，色调
stove	n. 炉子，火炉
adjective	n. 形容词
knee	n. 膝盖
artist	n. 艺术家，美术家
regardless	adv. 不管怎样，无论如何
reader	n. 读者，读物
horizontal	adj. 水平的
acceptable	adj. 可接受的
mail	n. 邮件 v. 邮寄
cloud	n. 云，阴影
busy	adj. 繁忙的
secretary	n. 秘书，书记
deadly	adj. 致命的
harbour	n. 海港，港口 v. 庇护
bloom	n. 花，开花期 v. 开花
output	n. 产量，输出 v. 输出
railroad	n. 铁路 v. 由铁路运输
flesh	n. 肉，肉体
brother	n. 兄弟，同胞
inch	n. 英寸
aeroplane	n. 飞机
coffee	n. 咖啡
as	conj. 当…的时候
elementary	adj. 基本的，初级的
editor	n. 编辑，编者
coin	n. 硬币 v. 铸造
definite	adj. 明确的，肯定的
skim	v. 略读，浏览，掠过
tourist	n. 游客
flourish	v. 繁荣，兴旺，挥动
taste	n. 味道，品味
ending	n. 结尾，结局
nearly	adv. 差不多
away	adv. 离开，远离
lawyer	n. 律师
precision	n. 精确，精密
gasp	v. 气喘，喘息
publish	v. 出版，发表，公布
cubic	adj. 立方的
smart	adj. 聪明的，机灵的
floor	n. 地板，楼层
blackboard	n. 黑板
deceit	n. 欺骗
forecast	n. 预测，预报 v. 预测，预报
now	adv. 现在，立刻
believe	v. 相信，认为
mile	n. 英里
occur	v. 发生，出现，被想起
glove	n. 手套
graduate	n. 毕业生，研究生 v. 毕业 adj. 研究生的
club	n. 俱乐部，夜总会
fierce	adj. 凶猛的，狂热的
lag	v. 落后，拖延 n. 落后
hammer	n. 锤子 v. 锤击
congratulate	v. 祝贺，道喜
storage	n. 贮藏，储存
guess	v. 猜测，推测 n. 猜测，推测
desirable	adj. 值得向往的，可取的
bottom	n. 底部，根基
bud	n. 芽，蓓蕾
australia	n. 澳大利亚
choose	v. 选择，挑选
meanwhile	adv. 与此同时
convenience	n. 方便，便利设施
nowadays	adv. 现今
fall	v. 落下，跌倒，陷落
furious	adj. 狂怒的，狂暴的
tap	n. 轻叩 v. 轻叩
immediate	adj. 立即的，直接的
bruise	n. 瘀伤，擦伤
be	v. 是，在
politics	n. 政治，政治学
heavily	adv. 重重地，大量地
pat	v. 轻拍 n. 轻拍 adj. 恰当的
dose	n. 剂量，一剂
operate	v. 操作，动手术
auxiliary	adj. 辅助的，附属的
record	n. 记录，履历 v. 记录
groan	v. 呻吟 n. 呻吟
meat	n. 肉
harden	v. 变硬，变得坚强
arm	n. 手臂，武器
lip	n. 嘴唇
fable	n. 寓言
excuse	v. 原谅，免除 n. 借口
cellar	n. 地下室
noisy	adj. 喧闹的
systematic	adj. 有系统的，有计划的
trail	n. 小径，痕迹 v. 跟踪，追踪
her	pron. 她（宾格） det. 她的
rather	adv. 相当，宁愿
liquid	n. 液体 adj. 液体的
indirect	adj. 间接的，婉转的
meantime	n. 其间，同时 adv. 同时
portion	n. 一部分，一份 v. 分配
dinner	n. 正餐，宴会
distribution	n. 分配，分布
african	adj. 非洲的 n. 非洲人
kill	v. 杀死，扼杀
cough	v. 咳嗽 n. 咳嗽
restraint	n. 抑制，限制，约束
composition	n. 构成，作品，写作
verify	v. 证实，查证
it	pron. 这，那，它
comb	n. 梳子 v. 梳理，搜寻
conquest	n. 征服，克服
bristle	n. 鬃毛，硬毛
especially	adv. 尤其，特别
bottle	n. 瓶子
crush	v. 压碎，碾碎，镇压
delegation	n. 代表团
ourselves	pron. 我们自己
objective	adj. 客观的 n. 目标，目的
sulphur	n. 硫黄
talent	n. 才能，天才，人才
appliance	n. 器具，器械，家电
inspection	n. 检查，审查
bang	n. 巨响，砰的一声 v. 猛击，猛撞
happiness	n. 幸福，快乐
attention	n. 注意，注意力
january	n. 一月
venture	n. 冒险，风险投资 v. 冒险，敢于
input	n. 输入，投入 v. 输入
roar	v. 吼叫，咆哮，轰鸣 n. 吼叫，轰鸣
faithful	adj. 忠诚的，如实的
monkey	n. 猴子
behalf	n. 利益，代表
operator	n. 操作员，接线员
humble	adj. 谦逊的，卑微的
manufacturer	n. 制造商
mug	n. 大杯 v. 抢劫
goat	n. 山羊
democracy	n. 民主，民主制
city	n. 城市，都市
spoil	v. 损坏，宠坏，变质 n. 战利品
