hero	n. 英雄，男主角
happen	v. 发生，碰巧
kick	v. 踢 n. 踢
jet	n. 喷气式飞机，喷嘴 v. 喷射
chemistry	n. 化学
interaction	n. 相互作用
gown	n. 长袍
shot	n. 射击，弹丸，射门
gay	adj. 快乐的
sometime	adv. 在某一时候，从前
satisfactory	adj. 令人满意的
particularly	adv. 特别，尤其
reason	n. 理由，理性 v. 推理
cross	v. 穿过，交叉
development	n. 发展，开发
sour	adj. 酸的，馊的 v. 变酸
flush	v. （脸）发红
canvas	n. 帆布，油画布
medical	adj. 医学的，医疗的
economical	adj. 节约的，经济的
could	modal. 能，会，可以
oppress	v. 压迫，压制
latin	adj. 拉丁的 n. 拉丁语
rough	adj. 粗糙的，粗略的
merchant	n. 商人
other	adj. 另外的，其余的
progressive	adj. 进步的，渐进的
heal	v. 治愈，痊愈
competition	n. 竞争，比赛
court	n. 法庭，球场
drink	v. 喝 n. 饮料
ball	n. 球，舞会
organize	v. 组织
remain	v. 保持，剩下 n. 残余
chart	n. 图表，海图 v. 制图
interference	n. 干涉，干扰
dock	n. 船坞，码头
anchor	n. 锚 v. 抛锚
breast	n. 胸脯，乳房
glance	v. 瞥视 n. 一瞥
join	v. 参加，连接
poor	adj. 贫穷的，贫乏的
reference	n. 参考，提及
delete	v. 删除
digest	v. 消化，领会 n. 文摘
great	adj. 大的，伟大的
nut	n. 坚果，螺母
gun	n. 枪，炮
urge	v. 催促，鼓励 n. 冲动
but	conj. 但是，可是
ought	modal. 应当，应该
impossible	adj. 不可能的
real	adj. 真的，现实的
score	n. 得分，成绩 v. 得分，打分
devise	v. 设计，发明
equipment	n. 设备，装备
luck	n. 运气，幸运
absolutely	adv. 完全地，绝对地
queue	n. 长队 v. 排队
rural	adj. 农村的
office	n. 办公室
sore	adj. 疼痛的 n. 痛处
neighbourhood	n. 附近，邻近
japanese	adj. 日本的 n. 日本人
fulfil	v. 履行，完成
chocolate	n. 巧克力
chicken	n. 鸡，鸡肉
limited	adj. 有限的
kilometre	n. 公里
separate	adj. 分离的，个别的
campus	n. 校园
blanket	n. 毯子
frequently	adv. 常常，经常
thermometer	n. 温度计
market	n. 市场，行情
big	adj. 大的，巨大的
half	n. 半，一半 adj. 一半的
blade	n. 刀刃，叶片
afraid	adj. 害怕的，担心的
cinema	n. 电影院，电影
stiff	adj. 硬的，僵直的 adv. 极其，非常
librarian	n. 图书管理员
lamp	n. 灯
hostile	adj. 敌对的，敌方的
line	n. 线，路线
extensive	adj. 广阔的，广泛的
bet	v. 打赌，确信 n. 赌注
prove	v. 证明，证实
locomotive	n. 机车
along	prep. 沿着 adv. 向前
oven	n. 烤箱，炉
bury	v. 埋葬
arrow	n. 箭，箭头
green	adj. 绿色的 n. 绿色
fluid	n. 流体，液体 adj. 流动的
press	v. 压，按，催促
firm	n. 公司
funeral	n. 葬礼
compile	v. 编辑，汇编
grey	adj. 灰色的 n. 灰色
claw	n. 爪 v. 抓
fluent	adj. 流利的，流畅的
bitterly	adv. 痛苦地，悲痛地
defence	n. 防御，辩护
trade	n. 贸易，职业 v. 交易
owe	v. 欠，归功于
gray	adj. 灰色的 n. 灰色
digital	adj. 数字的
gradually	adv. 逐渐地
ax	n. 斧子
acceleration	n. 加速度
also	adv. 也，还
subway	n. 地铁
circumference	n. 圆周，周长
seek	v. 寻找，试图
bounce	v. 弹起，反弹 n. 反弹
minister	n. 部长，牧师
miracle	n. 奇迹
clothe	v. 给…穿衣
newly	adv. 新近，最近
lack	n. 缺乏 v. 缺乏
jury	n. 陪审团
difference	n. 差别，分歧
hope	v. 希望 n. 希望
insufficient	adj. 不足的
cheerful	adj. 快乐的，愉快的
east	n. 东，东部 adv. 在东方
pronunciation	n. 发音
photo	n. 照片
popular	adj. 流行的，受欢迎的
resume	v. 重新开始，恢复 n. 简历
eyesight	n. 视力
canal	n. 运河
obviously	adv. 明显地，显然地
please	v. 使高兴，使满意
breeze	n. 微风
beside	prep. 在…旁边
lid	n. 盖子
percent	adj. 百分之…
englishman	n. 英国男子
basketball	n. 篮球
orbit	n. 轨道 v. 环绕
nod	v. 点头
ash	n. 灰，骨灰
privilege	n. 特权，优惠
grocer	n. 杂货商
numerous	adj. 众多的
arise	v. 出现，产生
foremost	adj. 最初的，第一流的
wage	v. 开展（运动）
