license	n. 执照 v. 准许
little	adj. 小的，少的
africa	n. 非洲
organism	n. 生物体，有机体
county	n. 郡，县
globe	n. 地球，地球仪
food	n. 食物，食品
machine	n. 机器，机械
bore	v. 使厌烦，钻孔 n. 讨厌的人
reform	v. 改革，改良 n. 改革
radius	n. 半径
fist	n. 拳头
nuisance	n. 讨厌的人（物）
distinction	n. 差别，区分
mosquito	n. 蚊子
typewriter	n. 打字机
accordance	n. 一致，按照
plus	prep. 加 adj. 正的 n. 加号
policeman	n. 警察
christmas	n. 圣诞节
interest	n. 兴趣，利益，利息 v. 使感兴趣
greenhouse	n. 温室
farewell	int. 再会 n. 告别
him	pron. 他
shelf	n. 架子
later	adv. 后来
fashion	n. 时尚，方式
daily	adj. 每日的 n. 日报
outside	n. 外部 adj. 外部的 prep. 在…外面
principal	adj. 主要的 n. 校长，本金
mine	pron. 我的
farmer	n. 农民，农场主
asia	n. 亚洲
playground	n. 操场
guidance	n. 指导
evaporate	v. 蒸发
upright	adj. 垂直的，正直的 adv. 挺直着
honour	n. 光荣，尊敬
stocking	n. 长袜
nice	adj. 美好的，令人愉快的
faculty	n. 系，才能，全体教员
auto	n. 汽车
phone	n. 电话
undo	v. 解开，取消
liver	n. 肝脏
cat	n. 猫
capacity	n. 容量，能力
offer	v. 提供 n. 提供
conference	n. 会议
body	n. 身体，主体
holiday	n. 假期
glass	n. 玻璃，玻璃杯
royal	adj. 皇家的
wave	n. 波浪 v. 挥动，波动
different	adj. 不同的，各种的
cut	v. 切，割，减少
dawn	n. 黎明，开端 v. 破晓
oar	n. 桨
kneel	v. 跪下
ordinary	adj. 普通的
postage	n. 邮费
cheer	v. 欢呼，使振作
pass	v. 经过，通过，度过
level	n. 水平 adj. 水平的
anywhere	adv. 任何地方
affect	v. 影响
deer	n. 鹿
every	det. 每一的，每隔…的
a	art. 一（个），每一（个）
bar	n. 酒吧，条，杆
plenty	pron. 大量
baggage	n. 行李
pint	n. 品脱
fly	n. 苍蝇 v. 飞
friend	n. 朋友
any	adj. 任何，一些
nurse	n. 护士 v. 看护
toilet	n. 厕所
creep	v. 爬行
goods	n. 货物，商品
career	n. 职业，生涯
museum	n. 博物馆
coast	n. 海岸
diamond	n. 钻石，菱形
increasingly	adv. 日益
spill	v. 溢出，洒落
comprehension	n. 理解，理解力
chest	n. 胸膛，箱子
otherwise	adv. 否则
movement	n. 动作，活动
bowl	n. 碗
bat	n. 球拍，蝙蝠
somewhat	adv. 有点
ancestor	n. 祖先
liberal	adj. 自由的，慷慨的
far	adj. 远的 adv. 远
tropical	adj. 热带的
molecule	n. 分子
general	adj. 总的，一般的 n. 将军
gentle	adj. 和蔼的，轻柔的
motion	n. 运动，动作 v. 示意
however	adv. 然而
float	v. 漂浮，浮动
adjust	v. 调整，调节
drama	n. 戏剧，剧本
circular	adj. 圆的，循环的 n. 通知
above	prep. 在…上面
enthusiastic	adj. 热情的，热心的
landlord	n. 房东，地主
volcano	n. 火山
hard	adj. 硬的，困难的
microphone	n. 话筒，麦克风
proud	adj. 骄傲的，自豪的
gently	adv. 轻轻地，柔和地
curl	n. 卷发，卷曲 v. 卷曲
flavour	n. 味道
loud	adj. 响亮的，吵闹的
manner	n. 方式，态度，礼貌
tender	adj. 嫩的，温柔的 v. 提出 n. 投标
dry	adj. 干燥的
mute	adj. 沉默的 n. 哑巴
dorm	n. 宿舍
discard	v. 丢弃
change	n. 改变，变化，零钱
outstanding	adj. 杰出的，突出的
wear	v. 磨损
relate	v. 联系，有关，叙述
radioactive	adj. 放射性的
geography	n. 地理，地理学
his	pron. 他的
probable	adj. 很可能的
aware	adj. 意识到的
central	adj. 中心的，主要的
ownership	n. 所有权
nine	num. 九
voyage	n. 航海 v. 航行
expensive	adj. 昂贵的
provide	v. 提供
before	prep. 在…以前
empty	adj. 空的
heat	n. 热 v. 变热
canadian	adj. 加拿大的
beam	n. 梁，光束 v. 播送
last	adj. 最后的 adv. 最后
cause	n. 原因，理由，事业
exclaim	v. 呼喊
breed	n. 品种 v. 繁殖，养育
keeper	n. 饲养员
mouth	n. 嘴
camel	n. 骆驼
