hell	n. 地狱
fourth	pron. 第四 n. 四分之一
march	n. 三月
entrance	n. 入口
consider	v. 考虑，认为，关心
compress	v. 压缩
brow	n. 眉毛
sound	adj. 健康的，完好的
recall	v. 回忆，召回
scarcely	adv. 几乎不，仅仅
mayor	n. 市长
most	pron. 大多数 adv. 最
connection	n. 连接，联系
nature	n. 自然，本性
alone	adj. 单独的 adv. 单独地
marvellous	adj. 了不起的
hold	v. 握住，拥有
like	v. 喜欢
treat	v. 对待，处理 n. 款待
beg	v. 乞求，请求
footstep	n. 脚步
himself	pron. 他自己
cure	v. 医治 n. 治愈
bough	n. 树枝
bee	n. 蜜蜂
treaty	n. 条约
bird	n. 鸟
butterfly	n. 蝴蝶
insert	v. 插入，嵌入
phase	n. 阶段，方面
necessarily	adv. 必然，必定
cloth	n. 布，衣料
door	n. 门，通道
description	n. 描写，形容
marry	v. 结婚，娶，嫁
beat	v. 打，打败
community	n. 社区，社会，团体
swing	v. 摇摆，回转 n. 摇摆，秋千
branch	n. 树枝，分支
uneasy	adj. 不安的，忧虑的
solemn	adj. 严肃的，庄重的
sew	v. 缝纫，缝制
astronaut	n. 宇航员
memorial	adj. 纪念的 n. 纪念碑，纪念堂
dispose	v. 处理，解决，去掉
brighten	v. 使明亮，使快活
addition	n. 加法，附加物
sulfur	n. 硫磺，硫黄
beginner	n. 初学者
impress	v. 给…深刻印象，印 n. 印记，特征
print	v. 印刷 n. 印刷品
fit	v. 适合，安装
lay	v. 放置，铺设
pollute	v. 污染，弄脏
experimental	adj. 实验的，试验的
attach	v. 系，贴，附加
focus	v. 集中，聚焦 n. 焦点，中心
hunt	n. 打猎，搜寻 v. 打猎，搜寻
cruel	adj. 残忍的，残酷的
desk	n. 书桌，办公桌
cost	n. 费用，成本，代价
slam	v. 猛关，砰地放下 n. 砰的一声
decay	v. 腐烂，衰败 n. 腐烂
opera	n. 歌剧
towel	n. 毛巾
crowd	n. 人群，群众 v. 聚集，挤满
decade	n. 十年
introduction	n. 介绍，引言
car	n. 汽车，轿车
prime	adj. 首要的，最好的 n. 全盛时期，青春
ache	v. 痛 n. 疼痛
grand	adj. 宏伟的，重大的
earn	v. 挣得，获得
goodness	n. 善良，美德 int. 天哪
gunpowder	n. 火药
spray	n. 浪花，喷雾 v. 喷，喷洒
guide	n. 导游，向导 v. 带领，指导
pile	n. 堆 v. 堆积
row	n. 排，行
trick	n. 诡计，技巧 v. 欺骗
february	n. 二月
cell	n. 细胞，小房间
completely	adv. 完全地，彻底地
extend	v. 延长，扩大，伸展
pair	n. 一对，一双 v. 配对
policy	n. 政策，方针，保险单
sympathetic	adj. 同情的，赞同的
mass	n. 大量，群众，质量 adj. 大量的，大规模的 v. 聚集
desperate	adj. 绝望的，不顾一切的
initial	adj. 最初的，开始的 n. 首字母
red	adj. 红色的 n. 红色
dig	v. 挖，掘
electron	n. 电子
comfortable	adj. 舒适的
association	n. 协会，联合，交往
labour	n. 劳动，劳工
diagram	n. 图表，图解
scheme	n. 计划，方案 v. 策划，密谋
accustomed	adj. 习惯的
awake	adj. 醒着的 v. 唤醒
entry	n. 入口，进入，条目
assistant	n. 助手，助理 adj. 助理的，辅助的
pocket	n. 衣袋，口袋 adj. 袖珍的
lime	n. 石灰
drum	n. 鼓 v. 敲击
singular	adj. 单数的，非凡的
aim	v. 瞄准，针对
counter	n. 柜台，计数器
because	conj. 因为
religious	adj. 宗教的，虔诚的
improvement	n. 改进，改善
dial	n. 拨号盘，钟面 v. 拨号
efficient	adj. 效率高的，有能力的
loudspeaker	n. 扬声器，喇叭
typist	n. 打字员
grasp	v. 抓紧，掌握，理解 n. 抓，理解
picnic	n. 野餐 v. 野餐
underneath	adv. 在下面 prep. 在…下面 n. 底部
contain	v. 包含，容纳
go	v. 去，走，变为
copper	n. 铜，铜币
delivery	n. 投递，交付，分娩
fill	v. 装满，填满
overhead	adj. 头顶上的，架空的 adv. 在头顶上 n. 经常费用
ours	pron. 我们的
borrow	v. 借，借用
landing	n. 登陆，着陆
urgent	adj. 紧急的，急迫的
roman	n. 罗马人 adj. 罗马的
remind	v. 提醒，使想起
power	n. 能力，权力，力量
pick	n. 镐
possess	v. 拥有，占有
between	prep. 在…中间
cafe	n. 咖啡馆，小餐厅
badly	adv. 严重地，非常
or	conj. 或，或者
headquarters	n. 总部，司令部
medal	n. 奖章，勋章
post	n. 柱，杆 v. 贴出
awkward	adj. 尴尬的，笨拙的
generally	adv. 通常，一般地
drop	v. 落下，降低
its	det. 它的
carry	v. 携带，运送，传送
bill	n. 账单，票据
barber	n. 理发师
payment	n. 支付，付款
tower	n. 塔 v. 高耸，屹立
luggage	n. 行李
