reach	v. 到达，达到，伸出
luxury	n. 奢侈，奢侈品
pound	n. 磅，英镑
beer	n. 啤酒
accuracy	n. 准确，精确
punish	v. 惩罚，处罚
poetry	n. 诗歌
idle	adj. 空闲的，懒散的 v. 虚度
environment	n. 环境
island	n. 岛，岛屿
color	n. 颜色，彩色
extremely	adv. 极其，非常
certainly	adv. 当然，必定
tractor	n. 拖拉机
handwriting	n. 笔迹，书法
aid	n. 帮助，援助
craft	n. 工艺，手艺，船
laugh	v. 笑 n. 笑
century	n. 世纪
hers	pron. 她的
gravity	n. 重力，引力，严重性
northeast	n. 东北 adj. 东北的
purpose	n. 目的，意图
literary	adj. 文学的
nursery	n. 托儿所，苗圃
excite	v. 使激动，激发
resolution	n. 决议，决心，解决
disappoint	v. 使失望
silver	n. 银，银器
hesitate	v. 犹豫，不情愿
transmit	v. 传送，发射，传播
independence	n. 独立，自主
manager	n. 经理，管理人
brass	n. 黄铜，铜管乐器
band	n. 乐队，带，波段
proceed	v. 进行，前进
expansion	n. 扩大，扩张，膨胀
from	prep. 从…来
elimination	n. 消除，排除
defend	v. 保卫，防守
always	adv. 总是，一直
rod	n. 杆，棒
mainland	n. 大陆
honeymoon	n. 蜜月
scholar	n. 学者，奖学金获得者
late	adj. 迟的，晚的 adv. 迟，晚
germany	n. 德国
clearly	adv. 清楚地，明白地
follow	v. 跟随，遵循
pink	n. 粉红色 adj. 粉红的
bring	v. 带来，引起
ground	n. 地面，场地，根据
film	n. 影片，胶卷
canada	n. 加拿大
propose	v. 提议，建议，求婚
recorder	n. 录音机，录像机，记录者
economy	n. 经济，节约
among	prep. 在…之中
discussion	n. 讨论，论述
republic	n. 共和国
yawn	v. 打呵欠 n. 呵欠
lawn	n. 草坪，草地
gas	n. 气体，煤气，汽油
ability	n. 能力，才能，本领
instinct	n. 本能，直觉
await	v. 等候，期待
lemon	n. 柠檬，柠檬黄
triangle	n. 三角形
advise	v. 劝告，建议，通知
bank	n. 银行，岸，堤
measurement	n. 测量，尺寸
help	v. 帮助，援助 n. 帮手
remember	v. 记得，记住
widow	n. 寡妇
telescope	n. 望远镜
even	adv. 甚至，还
booth	n. 电话亭，货摊
final	adj. 最后的，最终的
receiver	n. 接收器，听筒
drought	n. 干旱，旱灾
tin	n. 锡，罐头
left	adj. 左边的
farm	n. 农场，农庄
miner	n. 矿工
britain	n. 英国
mix	v. 混合，混淆
pinch	v. 捏，拧 n. 微量
whip	v. 鞭打，搅打 n. 鞭子
fond	adj. 喜爱的，喜欢的
expression	n. 表达，词语，表情
five	num. 五，五个
agriculture	n. 农业
anyhow	adv. 无论如何，不管怎样
transistor	n. 晶体管
house	n. 房屋，住宅
knob	n. 门把手，旋钮
religion	n. 宗教
factor	n. 因素，因子
inexpensive	adj. 廉价的
finish	v. 完成，结束 n. 结尾
allow	v. 允许，准许
keen	adj. 热心的，敏锐的
presently	adv. 目前，不久
statistical	adj. 统计的
vitamin	n. 维生素
enemy	n. 敌人
eight	num. 八
design	v. 设计 n. 设计，图样
cream	n. 奶油，奶油色
duty	n. 责任，职责，税
cousin	n. 堂表兄弟姐妹
lamb	n. 羔羊，羔羊肉
clear	adj. 清晰的，清楚的 v. 清除
whilst	conj. 当…时候
bake	v. 烤，烘，焙
airplane	n. 飞机
coat	n. 外套，上衣
wreck	n. 失事，残骸，沉船 v. 破坏
affair	n. 事务，事情，事件
cup	n. 杯子，奖杯
chill	v. 使变冷，变冷 n. 寒冷，寒气
physicist	n. 物理学家
oppose	v. 反对，反抗
hurry	v. 赶紧，催促
bad	adj. 坏的，严重的
pig	n. 猪
grandfather	n. 祖父，外祖父
gain	v. 获得，增加 n. 收益
except	prep. 除…之外
weave	v. 织，编
heir	n. 继承人
continual	adj. 不断的，连续的
unexpected	adj. 意外的
art	n. 艺术，美术
buy	v. 买，购买
girl	n. 女孩，姑娘
chess	n. 国际象棋，棋
quote	v. 引用，报价 n. 引文，报价
exhibit	v. 展览，显示 n. 展品
kite	n. 风筝
stroke	n. 中风，击，笔画 v. 抚摸
move	v. 移动，感动 n. 行动
sow	v. 播种
millimetre	n. 毫米
interfere	v. 干涉，妨碍
glue	n. 胶水 v. 胶合
at	prep. 在…里，在…时
crow	n. 乌鸦 v. 啼叫
depend	v. 依靠，依赖
entire	adj. 整个的，全部的
