conduct	n. 行为，举止 v. 进行，指挥，传导
bulb	n. 灯泡
bitter	adj. 苦的，痛苦的
respond	v. 回答，响应
naked	adj. 裸体的
radar	n. 雷达
birthday	n. 生日
precise	adj. 精确的，准确的
reality	n. 现实，真实
wing	n. 翅膀
gauge	v. 测量 n. 仪表
give	v. 给，给予
end	n. 末端，尽头 v. 结束
rust	n. 锈，铁锈 v. 生锈
disagree	v. 不同意，有分歧
engineer	n. 工程师
plain	n. 平原 adj. 清楚的，朴素的
eastern	adj. 东方的
automobile	n. 汽车
noon	n. 正午
region	n. 地区，区域
transformation	n. 变化，转变
least	pron. 最少的 adv. 最少
grind	v. 磨碎，磨快
do	aux. 构成否定/疑问 v. 做，干
national	adj. 国家的，民族的
excursion	n. 远足，短途旅行
haste	n. 匆忙，急速
suit	n. 诉讼 v. 适合
needless	adj. 不必要的
laser	n. 激光
boot	n. 靴子，行李箱
pain	n. 疼痛，痛苦
habitual	adj. 习惯性的，惯常的
erect	v. 建造，竖立 adj. 竖直的
noticeable	adj. 显而易见的
hate	v. 憎恨，讨厌
orderly	adj. 整洁的，有秩序的
point	n. 点，要点
live	v. 居住，生活 adj. 活的，现场的
horizon	n. 地平线，眼界
similarly	adv. 类似地
protein	n. 蛋白质
july	n. 七月
sake	n. 缘故，利益
tendency	n. 倾向，趋势
giant	n. 巨人 adj. 巨大的
father	n. 父亲，创始人
specimen	n. 样本，标本
upward	adj. 向上的
ready	adj. 准备好的，愿意的
path	n. 小路，道路
helmet	n. 头盔
adverb	n. 副词
information	n. 信息，消息
exterior	adj. 外部的 n. 外部，外表
tidy	adj. 整洁的 v. 整理
eagle	n. 鹰
variable	adj. 易变的 n. 变量
belt	n. 腰带，地带
open	adj. 开的，开放的 v. 打开
cage	n. 笼子
revolt	n. 反抗，起义 v. 反抗，起义
exist	v. 存在，生存
width	n. 宽度
argue	v. 争论，争辩
herself	pron. 她自己
potato	n. 土豆，马铃薯
aspect	n. 方面，外观
fertile	adj. 肥沃的，多产的
chamber	n. 房间，会议室，腔
rotary	adj. 旋转的
elbow	n. 肘，肘部 v. 用肘挤
dye	v. 染 n. 染料
condition	n. 条件，状况，环境
deaf	adj. 聋的
prize	n. 奖品，奖赏 v. 珍视
knit	v. 编织
neither	adj. 两者都不的
register	n. 登记，注册 v. 登记，注册
flu	n. 流感
petrol	n. 汽油
continent	n. 大陆，洲
echo	n. 回声，回响 v. 回响，附和
boil	v. 沸腾，煮沸
accident	n. 事故，意外
log	n. 原木，日志 v. 记录
grass	n. 草，草地
dense	adj. 密集的，稠密的
first	num. 第一 adv. 首先
aircraft	n. 飞机，飞行器
scout	n. 侦察员 v. 侦察，搜寻
layout	n. 布局，设计
business	n. 生意，商业，事务
torture	n. 折磨，拷打 v. 折磨
shiver	v. 颤抖，哆嗦 n. 颤抖
contradiction	n. 矛盾
photograph	n. 照片
likewise	adv. 同样地，也
ratio	n. 比率
textile	n. 纺织品
employer	n. 雇主
fisherman	n. 渔民
love	v. 爱，喜欢 n. 爱
arrive	v. 到达
preferable	adj. 更可取的，更好的
impatient	adj. 不耐烦的，急躁的
vapour	n. 蒸汽
chemist	n. 化学家，药剂师
novel	n. 小说 adj. 新颖的
forward	adv. 向前
civilize	v. 使文明，使开化
nail	n. 钉子，指甲 v. 钉住
fail	v. 失败，没能
disturb	v. 打扰，扰乱
favourable	adj. 有利的，顺利的
exciting	adj. 令人兴奋的
day	n. 天，白天
onto	prep. 到…上
ninety	num. 九十
plot	n. 情节，阴谋，小块土地 v. 密谋，标绘
hotel	n. 旅馆
concentrate	v. 集中，专注
achievement	n. 成就，成绩
comparison	n. 比较，对照
build	v. 建造，建立
bosom	n. 胸部
festival	n. 节日，节庆
face	n. 脸，表面
handy	adj. 方便的，手边的
cycle	n. 循环，自行车 v. 骑自行车
parent	n. 父母
graph	n. 图表
seal	n. 印章，海豹 v. 封，密封
strengthen	v. 加强，巩固
deny	v. 否认，拒绝
empire	n. 帝国
surgery	n. 外科手术
fortune	n. 运气，财富
interesting	adj. 有趣的
again	adv. 又，再
favour	n. 恩惠，好感 v. 赞同，偏爱
fleet	n. 舰队
mankind	n. 人类
liter	n. 升
mechanics	n. 力学
crystal	n. 水晶，晶体
letter	n. 信，字母
effective	adj. 有效的
eye	n. 眼睛，眼力
