spacecraft	n. 宇宙飞船
channel	n. 海峡，频道，途径
lunch	n. 午餐
form	n. 形式，形状 v. 形成
soak	v. 浸，泡
mobile	adj. 流动的，移动的
dim	adj. 昏暗的，模糊的 v. 变暗淡
death	n. 死亡
host	n. 主人，东道主
marxist	adj. 马克思主义的 n. 马克思主义者
pork	n. 猪肉
expect	v. 预料，等待
disorder	n. 混乱，骚乱
jaw	n. 颌
peak	n. 山顶，顶点 adj. 最高的，高峰的 v. 达到高峰
practically	adv. 实际上，几乎
exclusively	adv. 专门地
noble	adj. 贵族的，高尚的
liberty	n. 自由，许可
graceful	adj. 优美的，优雅的
sweep	v. 扫，扫过
countryside	n. 农村
miss	n. 小姐
hundred	num. 百 n. 许多
tube	n. 管
jungle	n. 丛林
fool	n. 傻子 v. 欺骗
optical	adj. 光学的，视觉的
attentive	adj. 注意的
anybody	pron. 任何人
depth	n. 深度，深处
tire	v. 疲劳，厌倦
god	n. 神，上帝
habit	n. 习惯，习性
enlarge	v. 扩大，放大
revolutionary	adj. 革命的，革新的 n. 革命者
dismiss	v. 解雇，解散
dare	v. 敢
odour	n. 气味
thunder	n. 雷，雷声 v. 打雷
enclose	v. 围住，附上
enter	v. 进入，参加
introduce	v. 介绍，引进，传入
pool	n. 水池，游泳池
daring	adj. 大胆的
postpone	v. 推迟，延期
telegram	n. 电报
lifetime	n. 一生，终身
control	v. 控制 n. 控制
bronze	n. 青铜
pit	n. 坑，矿井
lab	n. 实验室
dynamic	adj. 有活力的，动力的 n. 动力
disable	v. 使伤残
comparative	adj. 比较的，相对的
gate	n. 大门
seed	n. 种子，起因
fame	n. 名声，名望
doubtful	adj. 怀疑的，难以预料的
concert	n. 音乐会，演奏会
famine	n. 饥荒
slice	n. 薄片，部分 v. 切
celebrate	v. 庆祝，赞美
prisoner	n. 囚犯
temporary	adj. 暂时的，临时的
princess	n. 公主，王妃
ill	adj. 有病的 adv. 恶劣地
comrade	n. 同志
fragment	n. 碎片 v. 成碎片
problem	n. 问题
enough	det. 足够的 adv. 足够地
bath	n. 洗澡，浴缸
invent	v. 发明，创造
provision	n. 供应，准备，条款
coordinate	v. 协调，调节 adj. 同等的 n. 坐标
inside	prep. 在…里面 n. 内部
oh	int. 哦
liberate	v. 解放，释放
talk	v. 讲话，谈论
ever	adv. 曾经
bark	n. 吠叫声，树皮 v. 吠叫
horror	n. 恐怖，憎恶
deduce	v. 推断，演绎
angry	adj. 愤怒的，生气的
asian	adj. 亚洲的 n. 亚洲人
dress	n. 服装
inefficient	adj. 效率低的
mouthful	n. 一口
hospital	n. 医院
fortnight	n. 两星期，十四天
chew	v. 咀嚼
optional	adj. 可选的
assist	v. 帮助，协助
carpet	n. 地毯
probability	n. 可能性，概率
railway	n. 铁路，铁道
each	pron. 各，各自
racial	adj. 种族的，人种的
clerk	n. 职员，店员
asleep	adj. 睡着的
possible	adj. 可能的
hostess	n. 女主人
cathedral	n. 大教堂
acceptance	n. 接受，承认
might	v. 可能，会，也许
unite	v. 联合，统一
ox	n. 牛，公牛
recovery	n. 恢复，痊愈
fellow	n. 家伙，伙伴
brown	n. 褐色，棕色
blind	adj. 瞎的，盲目的
dash	v. 猛冲，猛撞 n. 破折号
must	v. 必须
importance	n. 重要，重要性
cap	n. 帽子
captain	n. 队长
rigid	adj. 僵硬的，严格的
mistake	n. 错误 v. 误解，弄错
depart	v. 离开，出发
crazy	adj. 疯狂的，荒唐的
butcher	n. 屠夫，肉贩 v. 屠宰
pay	v. 支付，给予
lonely	adj. 孤独的，荒凉的
corn	n. 谷物
pierce	v. 刺穿
field	n. 田野，运动场
compromise	n. 妥协，折中办法 v. 妥协
crane	n. 起重机，鹤
future	n. 将来，前途
external	adj. 外部的，外面的
fraction	n. 小部分，分数
delicate	adj. 纤细的，微妙的
brittle	adj. 脆的
claim	v. 声称，索取 n. 要求，索赔
about	prep. 关于，在…周围
parade	n. 游行，检阅 v. 游行
furnish	v. 布置，供应
mourn	v. 哀痛，哀悼
choice	n. 选择，抉择
liable	adj. 易于…的
sum	n. 金额，总数 v. 共计
foreigner	n. 外国人
mud	n. 泥浆
fold	v. 折叠 n. 褶
beard	n. 胡须
protect	v. 保护，保卫
airline	n. 航空公司，航线
negro	n. 黑人
deep	adj. 深的
storey	n. （层）楼
