willing	adj. 愿意的
quarter	n. 四分之一，一刻钟
obey	v. 顺从，服从
lightly	adv. 轻轻地
case	n. 情况，病例
overcoat	n. 大衣
niece	n. 侄女，外甥女
tyre	n. 轮胎，车胎
failure	n. 失败，故障
beauty	n. 美丽，美人
painting	n. 绘画，油画
drown	v. 淹死，溺死
pressure	n. 压力 v. 施加压力
remarkable	adj. 非凡的，值得注意的
muscle	n. 肌肉，力量
nap	n. 小睡
polish	v. 磨光，润色 n. 擦光剂
company	n. 公司，同伴
computer	n. 计算机，电脑
transformer	n. 变压器
politician	n. 政治家，政客
regard	v. 把…看作
oral	adj. 口头的
height	n. 高度，高处
bit	n. 一点，小片
sole	n. 脚底，鞋底 adj. 唯一的
imprison	v. 监禁
folk	n. 人们，亲属
carve	v. 雕刻，切开
practice	n. 练习，实践，业务
rapid	adj. 快的
insure	v. 保险，确保
loyal	adj. 忠诚的，忠心的
dull	adj. 枯燥的，晦暗的，钝的
ghost	n. 鬼，灵魂
mortal	adj. 致命的
iron	n. 铁 v. 烫（衣）
china	n. 中国
volume	n. 音量，体积，卷
bull	n. 公牛
crime	n. 犯罪，罪行
debate	n./v. 争论，辩论
newspaper	n. 报纸
pencil	n. 铅笔
courage	n. 勇气，胆量
forehead	n. 额头
place	n. 地方，地点
joke	n. 笑话 v. 开玩笑
sheet	n. 被单，纸张
dot	n. 点，圆点 v. 点缀
balance	v. 使平衡，权衡 n. 平衡，天平
melon	n. 甜瓜
cucumber	n. 黄瓜
flame	n. 火焰，热情
less	adj. 更少的 adv. 更少地
peace	n. 和平，平静
basis	n. 基础，根据
once	adv. 一次，曾经
bus	n. 公共汽车
husband	n. 丈夫
haircut	n. 理发
kiss	n./v. 吻
pet	n. 宠物，宠儿
cordial	adj. 真诚的，诚恳的
sketch	n. 略图，素描 v. 素描，概述
avenue	n. 大街，林荫道
bright	adj. 明亮的，聪明的
intimate	adj. 亲密的，个人的 n. 至交 v. 暗示
pride	n. 骄傲，自豪 v. 自夸
ore	n. 矿石
cupboard	n. 碗柜，食橱
battery	n. 电池
impression	n. 印象
waterproof	adj. 防水的
find	v. 找到，发现
chapter	n. 章，回
powerful	adj. 强大的，有力的
overtime	n. 加班
carrier	n. 运输工具
troop	n. 军队，一群 v. 成群结队
garbage	n. 垃圾
nasty	adj. 肮脏的，下流的
aboard	adv./prep. 在船（车）上，上船
outdoor	adj. 户外的
accuse	v. 指责，归咎于
heaven	n. 天堂，天空
medicine	n. 药，医学
europe	n. 欧洲
examine	v. 检查，仔细观察
halt	n./v. 停止
opening	adj. 开始的 n. 开始，开口，空缺
silence	n. 沉默 v. 使沉默
missile	n. 导弹
executive	adj. 执行的 n. 执行者
reliability	n. 可靠性
granddaughter	n. 孙女，外孙女
occasional	adj. 偶尔的，偶然的
fortunate	adj. 幸运的
ear	n. 耳朵，听力
sequence	n. 顺序，连续
link	v. 连接，联系 n. 联系，环节
actual	adj. 实际的
after	prep. 在…以后
recently	adv. 最近
intellectual	n. 知识分子 adj. 智力的
rotate	v. 旋转，轮流
deck	n. 甲板，层面
plough	n. 犁 v. 犁，耕
perhaps	adv. 也许，可能
acid	n. 酸 adj. 酸的
elect	v. 选举，推选
cent	n. 分
arbitrary	adj. 随心所欲的，专断的
either	pron. （两者）任何一个
atlantic	adj. 大西洋的 n. 大西洋
actor	n. 演员
fever	n. 发烧，狂热
mostly	adv. 主要地，大部分
player	n. 比赛者，运动员
swell	v. 膨胀，增长 n. 膨胀，隆起
experience	n. 经验，经历
creative	adj. 创造性的
perfect	adj. 完美的，完全的
affection	n. 喜爱，感情
largely	adv. 大部分
extent	n. 程度，范围
better	adj. 较好的 adv. 更好地
moreover	adv. 此外，而且
exit	n. 出口 v. 退出
chairman	n. 主席，议长
journal	n. 杂志，日志
below	prep. 在…下面
belief	n. 信念，信任
minority	n. 少数，少数民族
over	prep. 在…上方，超过
conversation	n. 会话，谈话
factory	n. 工厂
cherry	n. 樱桃
else	adv. 其它，另外 adj. 别的
mouse	n. 老鼠
disk	n. 圆盘，磁盘
fundamental	adj. 基本的 n. 基本原则
liquor	n. 酒
pillow	n. 枕头
grip	v. 握紧，抓牢 n. 紧握
limitation	n. 限制，局限
chief	adj. 主要的，首席的 n. 首领，长官
dark	adj. 暗的，黑色的
stoop	v. 俯身，弯腰 n. 弯腰，驼背
parliament	n. 议会
