weld	v. 焊接 n. 焊接点
hang	v. 悬挂，吊死
pacific	adj. 和平的 n. 太平洋
against	prep. 倚着，对着
blood	n. 血液，血统
life	n. 生命，一生
cannon	n. 大炮
evening	n. 傍晚，晚上
confine	v. 限制，禁闭
ceiling	n. 天花板
just	adv. 正好，只是，刚才
necessity	n. 必要性，必需品
mercury	n. 水银
materialism	n. 唯物主义
let	v. 允许，让
darling	n. 亲爱的人，宠儿
billion	num. 十亿
incident	n. 事件
head	n. 头，上端 v. 率领
acquaintance	n. 熟人，认识
fifty	num. 五十
people	n. 人，人民，民族
injection	n. 注射，注入
indignant	adj. 愤慨的
transparent	adj. 透明的，明显的
around	prep. 在…周围
everybody	pron. 每人
cart	n. 运货马车
theoretical	adj. 理论的
herd	n. 兽群 v. 放牧
england	n. 英格兰，英国
sportsman	n. 运动员
intensity	n. 强度，强烈
violet	n. 紫罗兰 adj. 紫色的
agree	v. 同意
lens	n. 镜头，镜片
attitude	n. 态度，看法
dirt	n. 灰尘，污垢
slender	adj. 苗条的，细长的
drawer	n. 抽屉
ray	n. 光线，射线
delicious	adj. 美味的，怡人的
thread	n. 线，线索
poet	n. 诗人
somehow	adv. 以某种方式，不知怎么地
mate	n. 伙伴，配偶 v. 交配
across	prep. 横过，在…对面
landlady	n. 女房东
attend	v. 出席，照料
proof	n. 证据，证明 adj. 耐…的
cover	v. 覆盖，包括 n. 盖子
fasten	v. 扎牢，扣住
push	v. 推，敦促
rib	n. 肋骨
light	adj. 轻的，少量的
earthquake	n. 地震
make	v. 做，制造，使
wind	v. 缠绕
guilty	adj. 有罪的，内疚的
blaze	n. 火焰，闪光 v. 燃烧
cloudy	adj. 多云的
grandson	n. 孙子，外孙
feeling	n. 感觉，感情
trap	n. 陷阱，圈套 v. 诱捕
race	n. 比赛，竞赛
overlook	v. 忽视，俯瞰
spade	n. 铁锹
whistle	n. 口哨 v. 吹口哨，鸣笛
action	n. 行动，作用
bolt	n. 插销，螺栓 v. 闩门
drug	n. 药物
nitrogen	n. 氮
listen	v. 听，听从
murderer	n. 凶手
inhabitant	n. 居民
instead	adv. 代替，反而
alike	adj. 相似的，相同的 adv. 相似地
lesson	n. 课程
medium	n. 媒介，媒体 adj. 中等的
lest	conj. 以免
butter	n. 黄油
pill	n. 药丸
fairly	adv. 相当，公平地
horn	n. 角，喇叭
preposition	n. 介词
fruitful	adj. 多产的，肥沃的
middle	n. 中间 adj. 中间的
leap	v. 跳，跃 n. 跳跃
million	num. 百万 n. 许多
know	v. 知道，认识
biology	n. 生物学
independent	adj. 独立的，自主的
wheel	n. 车轮
hole	n. 洞，孔
bay	n. 湾
forbid	v. 禁止，不许
refer	v. 提到，参考
finally	adv. 最后，终于
nylon	n. 尼龙
ambition	n. 雄心，野心
electric	adj. 电动的
velocity	n. 速度
relax	v. 放松，缓和
golf	n. 高尔夫球
bone	n. 骨，骨骼
glory	n. 光荣，荣誉
want	n. 需要，缺乏
examination	n. 考试，检查
kindness	n. 仁慈，好意
terror	n. 恐怖，惊骇
heroine	n. 女英雄，女主角
cricket	n. 板球，蟋蟀
curve	n. 曲线，弯曲 v. 弯曲
structural	adj. 结构的
pond	n. 池塘
precaution	n. 预防，警惕
shore	n. 岸
autumn	n. 秋季
question	n. 问题
front	adj. 前面的 n. 前部
broadcast	n. 广播
fur	n. 毛皮，软毛
pronoun	n. 代词
coarse	adj. 粗糙的，粗俗的
clarify	v. 澄清，阐明
remote	adj. 遥远的，偏僻的
investigation	n. 调查
boat	n. 小船
attractive	adj. 有吸引力的
occupy	v. 占领，占用
agony	n. 极度痛苦
platform	n. 站台，平台
communism	n. 共产主义
not	adv. 不
intensive	adj. 加强的，精深的
maybe	adv. 也许，大概
disgust	n. 厌恶 v. 使厌恶
utilize	v. 利用
protection	n. 保护
connect	v. 连接，联系
salary	n. 薪水
click	v. 点击 n. 咔嗒声
temper	n. 脾气，情绪 v. 缓和，调和
multicultural	adj. 多元文化的
concede	v. 承认，让步
weekly	adv. 每周 adj. 每周的
result	v. 发生，导致 n. 结果，成果
sexism	n. 性别歧视
editorial	adj. 编辑的，社论的 n. 社论
rebuild	v. 重建
