sunset	n. 日落
dominate	v. 支配，控制
provocation	n. 挑衅，激怒
christ	n. 基督
fantasy	n. 幻想，想象
frustrate	v. 使沮丧，挫败
rope	n. 绳子 v. 用绳捆
wisdom	n. 智慧，才智
umbrella	n. 雨伞
halfway	adv. 半路地 adj. 中途的
up-to-date	adj. 最新的，现代的
translation	n. 翻译，译文
bump	v. 碰，撞 n. 碰撞，肿块
considering	prep. 鉴于，考虑到
draught	n. 穿堂风 adj. 散装的
integration	n. 综合
guy	n. 家伙
violence	n. 暴力，猛烈
cop	n. 警察
lad	n. 小伙子
well-known	adj. 著名的
surge	v. 汹涌，奔腾 n. 汹涌，高涨
tutor	v. 辅导 n. 导师，家庭教师
senator	n. 参议员
thirsty	adj. 口渴的，渴望的
obligation	n. 义务，责任
combat	n. 战斗 v. 与…斗争
victim	n. 受害者
garlic	n. 大蒜
fantastic	adj. 极好的，奇异的，难以置信的
supply	v. 供应
confidential	adj. 机密的，秘密的
chaos	n. 混乱
cue	n. 暗示，提示 v. 提示
sunrise	n. 日出
starve	v. 挨饿，饿死
currency	n. 货币，流通
legislation	n. 立法，法规
clause	n. 条款，从句
quiz	n. 小测验 v. 考查
surplus	adj. 多余的 n. 剩余，盈余
correspondence	n. 通信，信件，一致
declaration	n. 宣布，宣言，声明
prayer	n. 祷告，祈祷，祷文
charm	n. 魅力，符咒 v. 吸引，迷住
deception	n. 欺骗，诡计
given	adj. 已知的，规定的，特定的 prep. 考虑到
solicitor	n. 律师，法律顾问
pepper	n. 胡椒，胡椒粉 v. 撒，使布满
doctoral	adj. 博士的
video	adj. 录像的 n. 录像
weapon	n. 武器
stare	v. 盯，凝视
center	n. 中心
generic	adj. 一般的，普通的
studio	n. 画室，摄影室，录音室
whoever	pron. 无论谁，究竟是谁
specifically	adv. 特别地，明确地，具体地
controversial	adj. 有争议的
deputy	n. 副手，代表，代理人
preventive	adj. 预防性的
allocate	v. 分配，分派，拨给
theme	n. 主题，题目
smash	v. 粉碎，猛击，猛冲 n. 破碎，巨大成功
wealth	n. 财富，丰富
unfortunately	adv. 不幸地
heterogeneity	n. 异质，不同成分
alliance	n. 联盟
hip	n. 臀部
format	n. 格式，版式 v. 使格式化
salesman	n. 售货员，推销员
wagon	n. 马车，货车
soda	n. 汽水，苏打水
developmental	adj. 发展的
compassion	n. 同情，怜悯
dental	adj. 牙齿的，牙科的
predictable	adj. 可预料的
rally	v. 集合，恢复 n. 集会
profile	n. 侧面，轮廓，简介 v. 描绘
whichever	adj. 无论哪个
pluralism	n. 多元化，多重性
involvement	n. 参与，卷入
hearing	n. 听力，听觉，听证会
acquisition	n. 获得，习得，获得物
so-called	adj. 所谓的
chip	n. 碎片，炸薯条，芯片
accountant	n. 会计师
recreational	adj. 娱乐的
bracket	n. 括号 v. 归类
conviction	n. 确信，信仰，定罪
reckon	v. 认为，估计，指望
title	n. 标题，题目，称号
bloody	adv. 非常，很 adj. 该死的，流血的 v. 血染
spelling	n. 拼写，拼法
priest	n. 牧师，神父
universe	n. 宇宙，世界
spectacular	adj. 壮观的，引人注目的 n. 壮观的演出
invincible	adj. 无敌的
thick	adv. 厚厚地 adj. 厚的，密的，浓的
cigar	n. 雪茄烟
stadium	n. 体育场
whereas	conj. 然而，尽管
adoptive	adj. 收养的
underground	adv. 在地下，秘密地 adj. 地下的，秘密的 n. 地铁
baseball	n. 棒球
machinery	n. 机器，机械
inference	n. 推断，推理，结论
notify	v. 通知，告知
stream	v. 流出，涌出 n. 溪流，一串
heave	v. 举起，起伏，呕吐 n. 起伏
nourish	v. 滋养，养育
surround	v. 围绕，包围
cigarette	n. 香烟
refugee	n. 难民
comparable	adj. 可比较的，类似的
presumably	adv. 大概，据推测
subject	n. 题目，学科，主语 v. 使隶属
oxygen	n. 氧气
bearing	n. 举止，方位，影响
comedy	n. 喜剧
trash	n. 垃圾，废物 v. 捣毁
x-ray	n. X射线，X光
spokesman	n. 发言人
circulation	n. 循环，流通，发行
suburb	n. 郊区
writer	n. 作家，作者
scream	v. 尖叫 n. 尖叫声
shortcoming	n. 缺点
global	adj. 全球的，总的
wolf	n. 狼
shrug	v. 耸肩
coordination	n. 协调
presentation	n. 报告，介绍，展示
ruin	v. 毁坏 n. 毁灭，废墟
owing	adj. 未付的，应付的
systematical	adj. 系统的，有计划的
amateur	adj. 业余的 n. 业余爱好者，外行
assistance	n. 帮助，援助
summary	adj. 概括的 n. 摘要，概要
guitar	n. 吉他
sunshine	n. 阳光
balcony	n. 阳台
collaborative	adj. 合作的，协作的
cherish	v. 珍爱，怀有
prolong	v. 延长
thumb	v. 要求搭车 n. 拇指
republican	adj. 共和政体的，共和党的 n. 共和党人
writing	n. 书写，著作
alongside	adv. 在旁边，并排地 prep. 在…旁边
coupon	n. 优惠券，礼券，票证
