fascinating	adj. 迷人的
agenda	n. 议程
devotion	n. 献身，奉献，热爱
anonymous	adj. 匿名的
fourfold	adv. 四倍 adj. 四倍的
publicity	n. 宣传，公众注意
according	adj. 一致的，依…而定的
membership	n. 会员身份，会员数
modernization	n. 现代化
criminology	n. 犯罪学
controversy	n. 争论，争议
newsstand	n. 报摊
ambassador	n. 大使，使节
landscape	n. 风景，景色，风景画 v. 美化
understanding	adj. 体谅的，通情达理的 n. 理解，谅解，协议
fairy	n. 小精灵，仙子
courtyard	n. 院子
providing	conj. 倘若
minimize	v. 减少，最小化
handbag	n. 手提包
shallow	adj. 浅的，浅薄的 n. 浅滩
lease	n. 租约 v. 出租，租用
slap	v. 掌击，拍 n. 掌击
spit	v. 吐出 n. 唾沫
anniversary	n. 周年纪念日
persuasive	adj. 有说服力的
world-wide	adj. 遍及全球的
respect	n. 尊敬，方面 v. 尊敬
shell	n. 壳，贝壳，炮弹 v. 剥壳，炮击
breakdown	n. 故障，崩溃，衰竭
jeans	n. 牛仔裤
copyright	n. 版权
biotechnology	n. 生物技术
charter	adj. 包租的 n. 宪章，特许状 v. 包租
slim	adj. 苗条的，少的 v. 变苗条
succeeding	adj. 随后的
viewpoint	n. 观点，看法
crossing	n. 人行横道，交叉口
script	n. 剧本，广播稿，笔迹
system	n. 系统，制度，方法
spot	n. 斑点，地点 v. 认出，发现
vacation	n. 假期，休假
curriculum	n. 课程
slip	v. 滑倒，溜，下降 n. 差错
species	n. 种类，物种
internship	n. 实习期
estate	n. 地产，财产，庄园
rumour	n. 谣言
rob	v. 抢劫，抢夺
elderly	adj. 年长的 n. 老年人
media	n. 媒体，媒介
radical	adj. 根本的，激进的 n. 激进分子
semester	n. 学期
concession	n. 让步，妥协，特许权
elective	adj. 选举的，可选的 n. 选修课
accusation	n. 指控，谴责
exclusive	adj. 独有的，排他的，高级的 n. 独家新闻
housing	n. 住房，房屋，外壳
notion	n. 概念，观念，想法
gram	n. 克
empower	v. 授权，使能够
boring	adj. 无聊的，乏味的
classic	adj. 经典的，典型的，优秀的 n. 经典作品，名著
rub	v. 擦，摩擦
wealthy	adj. 富有的
segment	n. 部分，片段
statistic	n. 统计数值，统计学
superb	adj. 极好的
mold	n. 霉菌，模具 v. 塑造，形成
whatever	adv. 无论什么
volunteer	v. 自愿 n. 志愿者
boom	v. 激增，繁荣 n. 繁荣
summit	n. 峰顶，最高级会议
ally	v. 结盟，联合 n. 同盟国，同盟者
statement	n. 陈述，声明，报表
target	n. 目标 v. 瞄准，以…为目标
truly	adv. 真正地
gene	n. 基因
suicide	v. 自杀
saving	n. 节约，存款
waist	n. 腰
connexion	n. 连接（英式拼法）
scold	v. 责骂，训斥
rage	v. 发怒 n. 狂怒，时尚
protocol	n. 礼仪，议定书
whale	n. 鲸
violin	n. 小提琴
remonstrate	v. 抗议
cruise	v. 巡航，航游 n. 航游
topic	n. 话题，题目
erroneous	adj. 错误的
raid	v. 袭击，搜捕，劫掠
kindergarten	n. 幼儿园
cashier	n. 出纳
sheer	adv. 完全地 v. 急转向 adj. 完全的，陡峭的，透明的
depression	n. 抑郁，萧条，洼地
gaol	v. 监禁 n. 监狱
sauce	n. 调味汁，作料
shrink	v. 收缩，退缩
competitive	adj. 竞争的，有竞争力的
enquiry	n. 询问
applause	n. 掌声
sailor	n. 水手，海员
enquire	v. 询问
popularity	n. 普及，流行，声望
oval	adj. 椭圆形的 n. 椭圆形
integrate	v. 合并，成为一体
survivor	n. 幸存者
diagnose	v. 诊断
spider	n. 蜘蛛
scare	v. 吓，使害怕 n. 恐慌
scary	adj. 可怕的，吓人的
consultancy	n. 咨询公司
homogeneous	adj. 同种类的，同性质的
popularize	v. 普及
clash	v. 冲突，相撞 n. 冲突，撞击声
sanction	v. 批准，认可 n. 制裁
sin	v. 犯罪 n. 罪孽
historic	adj. 有历史意义的
select	adj. 精选的 v. 选择
fulfill	v. 履行，实现，满足
striking	adj. 显著的，引人注目的
youngster	n. 年轻人，孩子
thinking	adj. 有理性的 n. 想法，见解
delegate	n. 代表 v. 委派，委托
tradition	n. 传统
suggestion	n. 建议，暗示
bacon	n. 咸肉
sigh	v. 叹气 n. 叹息
pants	n. 裤子
astrophysics	n. 天体物理学
consumer	n. 消费者，用户
social	adj. 社会的，社交的
medication	n. 药物
spiritual	adj. 精神的，心灵的
salad	n. 色拉
strategic	adj. 战略的，关键的
readily	adv. 乐意地，容易地，立即
splendid	adj. 壮丽的，极好的
respondent	n. 回答者，被告
episode	n. 插曲，片段，一集
evidently	adv. 显然
victimize	v. 使受害，迫害
scandal	n. 丑闻
horrible	adj. 可怕的，极讨厌的
recreation	n. 娱乐，消遣
allowance	n. 津贴，零用钱
attorney	n. 律师
mainframe	n. 主机，大型机
audio	adj. 声音的，音频的
