teenager	n. 青少年
offensive	adj. 冒犯的，进攻的 n. 攻势
cartoon	n. 动画片，漫画
speculate	v. 推测，投机
amid	prep. 在…之中
single	adj. 单一的，独身的 n. 单程票
acquaint	v. 使认识，使了解
intervene	v. 干涉，介入，调停
unusual	adj. 不寻常的，独特的
sector	n. 部门，部分，扇形
epidemic	adj. 流行性的 n. 流行病
accountancy	n. 会计学
forge	v. 锻造，伪造
support	v. 支持，支撑，供养 n. 支持
misconception	n. 误解
socialist	n. 社会主义者
slight	adj. 轻微的 v. 轻视，冷落
socialism	n. 社会主义
technology	n. 技术
damn	int. 该死，见鬼 adv. 非常，很 adj. 该死的
advertise	v. 做广告，宣传
software	n. 软件
seminar	n. 研讨会
hesitant	adj. 犹豫的
timber	n. 木材，原木
surrounding	adj. 周围的
innovative	adj. 创新的
indoor	adv. 在室内 adj. 室内的
sexual	adj. 性的，性别的
sunlight	n. 阳光
scarce	adj. 缺乏的，稀少的
resource	n. 资源，财力
ugly	adj. 丑陋的
tax	n. 税，负担 v. 征税，使负担
excitement	n. 兴奋，激动，刺激
nightmare	n. 噩梦，可怕的事物
embassy	n. 大使馆
sociology	n. 社会学
flee	v. 逃跑，逃避
limp	adj. 软的，无力的 v. 跛行 n. 跛行
responsive	adj. 响应的，敏感的
category	n. 种类，类别
snap	v. 折断，猛咬，厉声说 adj. 突然的，仓促的 n. 快照
