measure	n. 措施，尺寸 v. 测量，衡量
replacement	n. 代替，更换
easygoing	adj. 随和的
squeeze	v. 挤，榨 n. 紧缺
exhibition	n. 展览，展览会
responsibility	n. 责任，职责
enhance	v. 提高，增强
regulation	n. 规则，规章
integrity	n. 完整
combine	v. 结合，联合
impermanency	n. 非永久性
council	n. 委员会，理事会
prepare	v. 准备，预备
inquiry	n. 询问，调查
tension	n. 紧张，张力
quantity	n. 数量，量
endurance	n. 耐力
simplify	v. 简化
accomplish	v. 完成，达到
treatment	n. 治疗，对待，处理
welfare	n. 福利
consciousness	n. 意识，知觉
patiently	adv. 耐心地
misguide	v. 误导
foundation	n. 基础，地基，基金会
prevail	v. 流行，盛行
counsel	v. 劝告，建议 n. 律师，忠告
maximum	n. 最大值 adj. 最大的，最高的
abstract	adj. 抽象的 n. 摘要，梗概 v. 提取
realistic	adj. 现实的，实际的，逼真的
ashamed	adj. 惭愧的，害臊的
reinforce	v. 加强，强化
applicant	n. 申请人
tuition	n. 学费
persistence	n. 坚持不懈
overcome	v. 克服，战胜
engagement	n. 婚约
evaluate	v. 评价，评估
private	adj. 私人的，私下的
definition	n. 定义，释义
influential	adj. 有影响力的
recommend	v. 推荐，建议
frontier	n. 边境，新领域
concern	n. 关心，担心 v. 涉及，关于
mechanism	n. 机制，机械装置
contest	n. 比赛，竞赛 v. 争夺
symptom	n. 症状，征兆
deadline	n. 最后期限
domination	n. 主导
curiosity	n. 好奇心，珍品
acknowledge	v. 承认，确认
sensible	adj. 明智的，合情理的
outline	n. 要点，轮廓 v. 概述
committee	n. 委员会
civilian	n. 平民，百姓
domestic	adj. 国内的，家庭的，驯养的
complex	adj. 复杂的，难懂的
tighten	v. 使变紧
physics	n. 物理学
foothold	n. 立足处
discharge	v. 释放，排出 n. 释放，放电
advanced	adj. 先进的，高级的
stale	adj. 不新鲜的，陈腐的
conform	v. 遵守，符合
recharge	v. 再充电
annually	adv. 每年
decline	v. 下降，拒绝，衰退 n. 下降，衰退
originate	v. 开始
prospect	n. 前景，可能性 v. 勘探
curious	adj. 好奇的，奇怪的
incentive	n. 动机，刺激
cultivate	v. 培养，种植
potential	n. 潜力 adj. 潜在的
reluctant	adj. 不情愿的，勉强的
miserable	adj. 痛苦的，悲惨的
persuasion	n. 劝说
competitiveness	n. 竞争力
restriction	n. 限制，限定
radically	adv. 完全地，彻底地
distinct	adj. 明显的，不同的，清楚的
equality	n. 平等，相等
bacteria	n. 细菌
corporate	adj. 团体的，法人的
undermine	v. 削弱
survival	n. 幸存，幸存者
conflict	v. 冲突，抵触 n. 冲突，斗争
fatigue	n. 疲劳，劳累 v. 疲劳
endanger	v. 危及，危害
operation	n. 手术，操作，行动
laborious	adj. 费力的
passion	n. 热情，激情
cooperative	adj. 合作的
inflate	v. 膨胀
resourceful	adj. 机智的
exaggerate	v. 夸张，夸大
vocabulary	n. 词汇，词汇表
illustrate	v. 说明，阐明
overflow	v. 溢出
fantasize	v. 想象，幻想
universal	adj. 普遍的，通用的
generate	v. 产生，引起
schedule	n. 日程表，时间表 v. 安排
backslide	v. 倒退，退步
particle	n. 微粒，粒子
reproduce	v. 复制，繁殖
feedback	n. 反馈
equivalent	adj. 相等的 n. 等价物
motivate	v. 激励，激发
prosperity	n. 繁荣，昌盛
humanity	n. 人类，人性
innovate	v. 创新，革新
promotional	adj. 促销的
despite	prep. 尽管，不管
explosion	n. 爆炸，爆发
gap	n. 差距，缺口
relevant	adj. 有关的，切题的
complete	v. 完成 adj. 完整的
sufficient	adj. 足够的，充分的
request	n. 请求，要求 v. 请求
stereotype	n. 固定模式，陈规
