representative	n. 代表 adj. 典型的，代表性的
tasteless	adj. 无味的
excessive	adj. 过度的，过多的
dishonest	adj. 不诚实的
caution	n. 小心，谨慎 v. 警告
glorious	adj. 光荣的，辉煌的，壮丽的
pointless	adj. 无意义的
significant	adj. 重要的，有意义的，相当数量的
temptation	n. 诱惑，引诱
passive	adj. 被动的，消极的
treasure	v. 珍爱 n. 财富，珍宝
disservice	n. 帮倒忙，损害
ambitious	adj. 有雄心的，野心勃勃的
accumulate	v. 积累，堆积
ultimately	adv. 最后，最终
regulate	v. 管理，控制，调节
peer	n. 同龄人，同等地位的人 v. 凝视，仔细看
calculate	v. 计算，估计
virtually	adv. 几乎，实际上
accustom	v. 使习惯
programmer	n. 程序设计员
admiration	n. 钦佩，称赞
courageous	adj. 有勇气的
respectful	adj. 有礼貌的，尊重的
reservation	n. 预订，保留
demonstrate	v. 证明，展示，说明
generation	n. 一代人，产生
ancient	adj. 古代的，古老的
indifferent	adj. 冷漠的，漠不关心的，一般的
appointment	n. 约会，任命，约定
appoint	v. 任命，委派，约定
resemble	v. 像，相似
assemble	v. 集合，组装，装配
expressiveness	n. 表达
visibility	n. 能见度，可见性
distracted	adj. 分心的
substitute	n. 代替者，代用品 v. 代替，取代
insecure	adj. 不安全的
selective	adj. 选择的，精选的
compensation	n. 补偿，赔偿
dilemma	n. 困境
foreseeable	adj. 可以预见的
inadequacy	n. 不足
guarantee	v. 保证，担保 n. 保证，担保
discrimination	n. 歧视，区别，辨别
intense	adj. 强烈的，紧张的，热情的
facilitate	v. 促进，使便利
mislead	v. 误导，使误解
reassess	v. 重新评估
response	n. 反应，响应，回答
stimulate	v. 刺激，激励，激发
dessert	n. 甜点，甜食
peaceful	adj. 和平的，平静的
regularly	adv. 定期地，有规律地
fascinate	v. 迷住，吸引
durability	n. 耐久性，持久
discover	v. 发现
constitute	v. 组成，构成
administrative	adj. 管理的
tremble	v. 颤抖，发抖 n. 颤抖，摇晃
ignorant	adj. 无知的，不知道的
decorate	v. 装饰，装潢，修饰
acquire	v. 获得，取得，学到
situation	n. 情况
archive	n. 档案，档案馆
incomparable	adj. 无比的，无可匹敌的
perspective	n. 视角，观点，远景
compete	v. 竞争，比赛
overload	n. 负担太重
mechanic	n. 机械师，技工，力学
distinguish	v. 区别，辨别，区分
everlasting	adj. 永恒的
construction	n. 建筑，建造，结构
aggressive	adj. 好斗的，挑衅的，有进取心的
discourage	v. 使气馁，阻止，劝阻
combination	n. 结合，联合，组合
malfunction	n. 失灵，故障
respectively	adv. 分别地，各自地
forefinger	n. 食指
background	n. 背景，经历
quality	n. 质量，品质，特性
downfall	n. 大雨
pension	n. 养老金，抚恤金
perception	n. 感知，认识，看法
facility	n. 设施，设备，场所
proportion	n. 比例，部分，均衡
involve	v. 涉及，包含，卷入
attempt	n. 尝试，企图 v. 尝试，试图
conventional	adj. 传统的，常规的，普通的
detailed	adj. 详细的
interpretation	n. 解释，说明，口译
guilt	n. 有罪，罪行
connectivity	n. 连接，联系
instruct	v. 指导，指示，命令
infinite	adj. 无限的，无穷的
undervalue	v. 低估
specific	adj. 具体的，特定的，明确的 n. 细节
appealing	adj. 吸引人的
fitness	n. 健康
conclusion	n. 结论，结尾，推论
antique	n. 古董，古玩 adj. 古时的，过时的
intervention	n. 干预，干涉
protest	v. 抗议，反对 n. 抗议
tackle	v. 处理，对付 n. 用具
finance	n. 财政，金融 v. 资助，筹资
dissatisfy	v. 使不满
spontaneous	adj. 自发的
offense	n. 冒犯，犯罪，违法行为
abruptly	adv. 突然地
recycle	v. 回收利用，再循环
contribute	v. 贡献，捐助，投稿
embarrass	v. 使窘迫，使尴尬
mineral	n. 矿物，矿物质 adj. 矿物的
challenge	n. 挑战，艰巨的任务 v. 质疑，挑战
recruit	v. 招募，吸收 n. 新成员
overstate	v. 夸张，夸大
generalization	n. 概括
conservative	adj. 保守的，守旧的 n. 保守的人
restock	v. 重新进货，再储存
convict	v. 证明…有罪，宣判…有罪 n. 囚犯
