negative	adj. 消极的，否定的，负的 n. 负数
accelerate	v. 加速，促进
territory	n. 领土，领域
distraction	n. 分心，消遣
resolve	v. 解决，决心 n. 决心
soluble	adj. 可溶的，可解决的
authority	n. 权力，当局，权威
amplify	v. 放大，扩大，增强
accommodation	n. 住处，膳宿
december	n. 十二月
rug	n. 小地毯，毛毯
nervous	adj. 紧张的，神经的
nevertheless	adv. 然而，仍然
refrigerator	n. 冰箱
express	v. 表达，表示 n. 快车
imagine	v. 想象，设想
barrier	n. 障碍，屏障，隔阂
advertisement	n. 广告，公告
partner	n. 伙伴，搭档，配偶 v. 做搭档
hamburger	n. 汉堡包
immediately	adv. 立即，马上
scenery	n. 风景
mediterranean	n. 地中海 adj. 地中海的
conquer	v. 征服，战胜，克服
enthusiasm	n. 热情，热心
execute	v. 处死，实施，执行
conceal	v. 隐藏，掩盖，隐瞒
certain	adj. 肯定的，确实的
apparent	adj. 明显的，表面上的
messenger	n. 信使
naval	adj. 海军的
downward	adj. 向下的 adv. 向下地
monument	n. 纪念碑，历史遗迹
program	n. 程序，节目
illness	n. 疾病
population	n. 人口，居民
learning	n. 学问，知识
everywhere	adv. 到处
everyone	pron. 每人
sting	v. 刺，蜇，叮 n. 刺伤处
hatch	v. 孵化
cabinet	n. 内阁，橱柜
laughter	n. 笑声
impressive	adj. 印象深刻的
fourteen	num. 十四
stack	n. 堆 v. 堆积
emphasis	n. 强调，重点
shortage	n. 短缺，不足
contrary	adj. 相反的 n. 相反
minimum	n. 最低限度 adj. 最小的
hedge	n. 树篱，障碍物 v. 规避
stretch	v. 伸展，拉长，延伸 n. 伸展，一段时间
electrical	adj. 电的，电气的
artificial	adj. 人造的，矫揉造作的
grateful	adj. 感激的
personal	adj. 个人的
preceding	adj. 前面的，在前的
downstairs	adv. 在楼下 adj. 楼下的
province	n. 省，领域
artistic	adj. 艺术的，艺术性的
ambulance	n. 救护车
greeting	n. 问候，招呼
sincere	adj. 真诚的，诚挚的
sympathize	v. 同情，赞同
percentage	n. 百分比
beginning	n. 开始，开端
mathematical	adj. 数学的
incorrect	adj. 错误的
surrender	v. 交出，投降，放弃
english	n. 英语 adj. 英国人的
pleasant	adj. 令人愉快的，舒适的
conversion	n. 转变，转化
trumpet	n. 喇叭，小号 v. 宣告，鼓吹
entertain	v. 招待，使欢乐
abandon	v. 抛弃，放弃 n. 放任
congress	n. 国会，代表大会
confident	adj. 自信的，确信的
extreme	adj. 极度的 n. 极端
frequency	n. 频率，次数
confess	v. 承认，坦白
elevator	n. 电梯
kilogram	n. 千克，公斤
industrial	adj. 工业的
explosive	n. 炸药 adj. 爆炸的
departure	n. 出发，离开
elastic	n. 松紧带 adj. 有弹性的，灵活的
progress	n. 进步，进展
inhabit	v. 居住，栖息
ministry	n. 部
stem	n. 茎，词干 v. 起源，堵住
correspondent	n. 记者，通讯员
possibly	adv. 可能，也许
gaseous	adj. 气态的
lecture	n. 演讲，讲课 v. 演讲，讲课
recommendation	n. 推荐，建议，推荐信
bold	adj. 大胆的，粗体的
prosperous	adj. 繁荣的
grammatical	adj. 语法上的
turbine	n. 汽轮机
contempt	n. 轻蔑，藐视
settlement	n. 解决，协议，定居地
professor	n. 教授
palm	n. 手掌，棕榈树
emotion	n. 情感，情绪
moan	n. 呻吟声 v. 呻吟
terrible	adj. 可怕的，极度的
industry	n. 工业，产业
friendly	adj. 友好的
dramatic	adj. 戏剧性的，引人注目的
nuclear	adj. 核能的，核武器的
gentleman	n. 绅士
exactly	adv. 确切地，正好
mountain	n. 山，山脉
activity	n. 活动
throughout	prep. 遍及 adv. 到处
measurable	adj. 可测量的
grammar	n. 语法
purchase	n. 购买，购买品 v. 购买
explode	v. 爆炸，激增
tragedy	n. 悲剧，惨事
