scissors	n. 剪刀
suck	v. 吸，吮
chimney	n. 烟囱
recognition	n. 认出，承认，赏识
preliminary	adj. 初步的，预备的 n. 初步做法
meeting	n. 会议，会见
property	n. 财产，性质，房产
correct	adj. 正确的 v. 纠正
destination	n. 目的地，终点
purse	n. 钱包，手提包
fearful	adj. 害怕的，可怕的
suspicion	n. 怀疑，猜疑
knowledge	n. 知识，学识
orchestra	n. 管弦乐队
favourite	adj. 最喜爱的 n. 最喜爱的人
edition	n. 版本
poverty	n. 贫困
pleasure	n. 快乐，乐事
experiment	n. 实验，试验
marxism	n. 马克思主义
dictation	n. 听写，口授
advisable	adj. 明智的，可取的
compass	n. 罗盘，指南针，圆规
probably	adv. 或许，大概
library	n. 图书馆，藏书
beloved	adj. 心爱的，钟爱的 n. 爱人
aluminium	n. 铝
subsequent	adj. 随后的，后来的
journey	n. 旅行，旅程 v. 旅行
fashionable	adj. 流行的，时髦的
tolerate	v. 忍受，容忍，容许
condense	v. 压缩，浓缩，冷凝
feed	v. 喂（养），吃饲料
finding	n. 发现，调查结果
foreign	adj. 外国的，外来的
following	adj. 下列的，接着的 n. 追随者
formation	n. 形成，构成，队形
plentiful	adj. 丰富的，充足的
insurance	n. 保险，保险费
humorous	adj. 幽默的，诙谐的
dissolve	v. 溶解，解散，消失
farther	adv. 更远地 adj. 更远的
exceedingly	adv. 非常
wit	n. 才智，风趣
masterpiece	n. 杰作，名著
illustration	n. 说明，图解，例证
compute	v. 计算，估计
difficulty	n. 困难，困境
electricity	n. 电，电流
invitation	n. 邀请，请柬
atmospheric	adj. 大气的
stranger	n. 陌生人，新来者
present	adj. 现在的 n. 目前
suspend	v. 悬挂，暂停，推迟
jealous	adj. 妒忌的，猜疑的
european	adj. 欧洲的 n. 欧洲人
explain	v. 解释，说明
natural	adj. 自然的，天然的
management	n. 管理，经营，管理部门
inspect	v. 检查，审查，视察
beautiful	adj. 美丽的
descend	v. 下降，下来
fahrenheit	n. 华氏温度
freedom	n. 自由，自主
encounter	v. 遭遇，遇到 n. 遭遇
troublesome	adj. 麻烦的
congratulation	n. 祝贺，贺词
package	n. 包裹，包装 v. 打包，包装
decision	n. 决定，决心
compose	v. 组成，构成，创作
satellite	n. 卫星
protective	adj. 保护的
overall	n. 工装裤 adj. 全面的，总体的
creature	n. 生物，动物，创造物
dishonour	n. 不光彩，耻辱
magnificent	adj. 壮丽的，宏伟的，极好的
mechanical	adj. 机械的，呆板的
describe	v. 描述，形容
nonsense	n. 胡说，废话
absolute	adj. 绝对的，完全的
apparatus	n. 器械，仪器
preface	n. 序言，前言
adjective	n. 形容词
regardless	adv. 不管怎样，无论如何
horizontal	adj. 水平的
acceptable	adj. 可接受的
secretary	n. 秘书，书记
harbour	n. 海港，港口 v. 庇护
brother	n. 兄弟，同胞
inch	n. 英寸
elementary	adj. 基本的，初级的
definite	adj. 明确的，肯定的
tourist	n. 游客
flourish	v. 繁荣，兴旺，挥动
precision	n. 精确，精密
gasp	v. 气喘，喘息
publish	v. 出版，发表，公布
blackboard	n. 黑板
forecast	n. 预测，预报 v. 预测，预报
believe	v. 相信，认为
graduate	n. 毕业生，研究生 v. 毕业 adj. 研究生的
congratulate	v. 祝贺，道喜
storage	n. 贮藏，储存
desirable	adj. 值得向往的，可取的
australia	n. 澳大利亚
meanwhile	adv. 与此同时
convenience	n. 方便，便利设施
furious	adj. 狂怒的，狂暴的
tap	n. 轻叩 v. 轻叩
immediate	adj. 立即的，直接的
politics	n. 政治，政治学
heavily	adv. 重重地，大量地
operate	v. 操作，动手术
auxiliary	adj. 辅助的，附属的
groan	v. 呻吟 n. 呻吟
systematic	adj. 有系统的，有计划的
indirect	adj. 间接的，婉转的
portion	n. 一部分，一份 v. 分配
distribution	n. 分配，分布
african	adj. 非洲的 n. 非洲人
