composition	n. 构成，作品，写作
conquest	n. 征服，克服
bristle	n. 鬃毛，硬毛
especially	adv. 尤其，特别
delegation	n. 代表团
ourselves	pron. 我们自己
objective	adj. 客观的 n. 目标，目的
sulphur	n. 硫黄
appliance	n. 器具，器械，家电
inspection	n. 检查，审查
happiness	n. 幸福，快乐
attention	n. 注意，注意力
january	n. 一月
venture	n. 冒险，风险投资 v. 冒险，敢于
roar	v. 吼叫，咆哮，轰鸣 n. 吼叫，轰鸣
faithful	adj. 忠诚的，如实的
operator	n. 操作员，接线员
manufacturer	n. 制造商
democracy	n. 民主，民主制
american	adj. 美国的，美洲的 n. 美国人
mixture	n. 混合，混合物
october	n. 十月
conversely	adv. 相反地
multiply	v. 乘，增加，繁殖
divorce	n. 离婚 v. 离婚，分离
sacrifice	n. 牺牲，祭品 v. 牺牲
various	adj. 各种各样的，不同的
diameter	n. 直径
occasionally	adv. 偶尔，偶然
glitter	v. 闪闪发光 n. 闪光
receipt	n. 收据，收到，发票
adventure	n. 冒险，奇遇
convention	n. 习俗，惯例，会议
dislike	v. 不喜欢 n. 厌恶
greatly	adv. 非常，大大地
passage	n. 通道，通过
organic	adj. 有机的
improve	v. 改善，提高
vigorous	adj. 有力的，朝气蓬勃的
spark	n. 火花 v. 发出火花
frequent	adj. 经常的，常见的 v. 常去
eager	adj. 渴望的，热切的
scientific	adj. 科学的
instantly	adv. 立即，即刻
chinese	adj. 中国的 n. 中国人
produce	v. 生产，产生
supreme	adj. 最高的，极度的
mysterious	adj. 神秘的，难以理解的
survive	v. 幸存，活下来
bicycle	n. 自行车
sausage	n. 香肠
submarine	adj. 水下的 n. 潜水艇
oriental	adj. 东方的
healthy	adj. 健康的，有益健康的
multiple	adj. 多种的，多样的 n. 倍数
actress	n. 女演员
economic	adj. 经济的
plunge	v. 投入，陷入，猛跌
hopeless	adj. 绝望的，无望的
philosophy	n. 哲学，人生观
thrive	v. 兴旺，繁荣
fireman	n. 消防队员
awfully	adv. 很，非常
concerning	prep. 关于
unlikely	adj. 不大可能的
indefinite	adj. 不明确的，不定的
therefore	adv. 因此，所以
boundary	n. 分界线，边界
afterward	adv. 后来，以后
election	n. 选举
dimension	n. 尺寸，方面，规模
chemistry	n. 化学
interaction	n. 相互作用
satisfactory	adj. 令人满意的
particularly	adv. 特别，尤其
development	n. 发展，开发
medical	adj. 医学的，医疗的
economical	adj. 节约的，经济的
oppress	v. 压迫，压制
merchant	n. 商人
progressive	adj. 进步的，渐进的
competition	n. 竞争，比赛
organize	v. 组织
interference	n. 干涉，干扰
reference	n. 参考，提及
urge	v. 催促，鼓励 n. 冲动
impossible	adj. 不可能的
equipment	n. 设备，装备
absolutely	adv. 完全地，绝对地
sore	adj. 疼痛的 n. 痛处
neighbourhood	n. 附近，邻近
japanese	adj. 日本的 n. 日本人
chocolate	n. 巧克力
limited	adj. 有限的
kilometre	n. 公里
separate	adj. 分离的，个别的
frequently	adv. 常常，经常
thermometer	n. 温度计
librarian	n. 图书管理员
hostile	adj. 敌对的，敌方的
extensive	adj. 广阔的，广泛的
locomotive	n. 机车
bury	v. 埋葬
funeral	n. 葬礼
compile	v. 编辑，汇编
bitterly	adv. 痛苦地，悲痛地
defence	n. 防御，辩护
digital	adj. 数字的
gradually	adv. 逐渐地
acceleration	n. 加速度
circumference	n. 圆周，周长
minister	n. 部长，牧师
miracle	n. 奇迹
difference	n. 差别，分歧
insufficient	adj. 不足的
cheerful	adj. 快乐的，愉快的
pronunciation	n. 发音
popular	adj. 流行的，受欢迎的
eyesight	n. 视力
obviously	adv. 明显地，显然地
