percent	adj. 百分之…
englishman	n. 英国男子
privilege	n. 特权，优惠
numerous	adj. 众多的
foremost	adj. 最初的，第一流的
childish	adj. 幼稚的，孩子气的
exact	adj. 确切的，精确的
northern	adj. 北方的
argument	n. 争论，理由
closely	adv. 紧密地，接近地
attract	v. 吸引，引起注意
brilliant	adj. 光辉的，卓越的
relation	n. 关系，亲属
succession	n. 连续，继任
officer	n. 军官，官员
electronics	n. 电子学
permission	n. 允许，许可
positive	adj. 积极的，肯定的，确定的
gaze	v. 凝视，注视
presence	n. 出席，存在
production	n. 生产，产量
foolish	adj. 愚蠢的
whisper	n./v. 低语，耳语
colonel	n. 上校
routine	n. 惯例，常规 adj. 日常的，例行的
pronounce	v. 发音，宣布
correspond	v. 相符，通信
despise	v. 鄙视，蔑视
navigation	n. 航行，导航
torch	n. 手电筒，火炬
another	det. 另一个，别的
charming	adj. 迷人的，可爱的
endless	adj. 无止境的
abnormal	adj. 反常的
peasant	n. 农民
hydrogen	n. 氢
uncover	v. 揭开，揭露
interior	adj. 内部的，内地的 n. 内部
historical	adj. 历史的
mechanically	adv. 机械地
thoughtful	adj. 体贴的，沉思的
discipline	n. 纪律，学科 v. 训练
perform	v. 表演，履行
fertilizer	n. 肥料
recognize	v. 认出，承认
gracious	adj. 有礼貌的，仁慈的
expense	n. 花费，开支
athlete	n. 运动员
regarding	prep. 关于
commonly	adv. 通常，一般
pitch	n. 沥青，球场，音高 v. 投掷，搭建
collect	v. 收集
conjunction	n. 连接，连词
arrangement	n. 安排，排列
section	n. 部分，章节
confusion	n. 混乱，困惑
successive	adj. 连续的
pour	v. 倒，倾泻
mention	n./v. 提及
conscious	adj. 有意识的，清醒的
companion	n. 同伴，伴侣
receive	v. 收到，接待
nowhere	adv. 任何地方都不
architecture	n. 建筑学，建筑
appropriate	adj. 适当的
existence	n. 存在，生存
subtract	v. 减去
italian	adj. 意大利的 n. 意大利人
magazine	n. 杂志
patience	n. 耐心
direction	n. 方向，指导
practise	v. 练习，训练
develop	v. 发展，开发
immense	adj. 巨大的
disguise	n. 伪装 v. 伪装，掩饰
shriek	n./v. 尖叫
elaborate	adj. 复杂的 v. 详述
requirement	n. 要求，必要条件
occurrence	n. 发生，事件
isolate	v. 隔离，孤立
collection	n. 收集，收藏品
exercise	n. 锻炼，练习 v. 练习
shortly	adv. 不久，立刻
communist	n. 共产党员
supplement	n. 补充，增刊 v. 增补
inferior	adj. 劣等的 n. 下级
efficiency	n. 效率
destroy	v. 破坏，毁灭
heating	n. 加热，供暖
comprise	v. 包含，构成
sweater	n. 毛衣
practical	adj. 实践的，实用的
basically	adv. 基本上
naturally	adv. 自然地，当然
despair	n. 绝望 v. 绝望
interrupt	v. 打断，中断
enforce	v. 实施，强制
definitely	adv. 一定地，明确地
federal	adj. 联邦的
interval	n. 间隔，休息
account	n. 账目，解释 v. 说明，占
absence	n. 缺席，缺乏
deposit	n. 存款，押金 v. 存放，储蓄
displease	v. 使不悦
nineteen	num. 十九
depress	v. 使沮丧，抑制
significance	n. 意义，重要性
certainty	n. 确定
specialist	n. 专家
dictionary	n. 词典
helicopter	n. 直升机
command	v. 命令，指挥
actually	adv. 实际上
secondary	adj. 次要的，中等的
academy	n. 学院，学会
corporation	n. 公司
thorough	adj. 彻底的
vinegar	n. 醋
article	n. 文章，物品
elephant	n. 大象
