republic	n. 共和国
yawn	v. 打呵欠 n. 呵欠
lawn	n. 草坪，草地
ability	n. 能力，才能，本领
instinct	n. 本能，直觉
triangle	n. 三角形
measurement	n. 测量，尺寸
remember	v. 记得，记住
telescope	n. 望远镜
receiver	n. 接收器，听筒
drought	n. 干旱，旱灾
britain	n. 英国
fond	adj. 喜爱的，喜欢的
expression	n. 表达，词语，表情
agriculture	n. 农业
transistor	n. 晶体管
religion	n. 宗教
inexpensive	adj. 廉价的
keen	adj. 热心的，敏锐的
presently	adv. 目前，不久
statistical	adj. 统计的
vitamin	n. 维生素
physicist	n. 物理学家
grandfather	n. 祖父，外祖父
continual	adj. 不断的，连续的
unexpected	adj. 意外的
exhibit	v. 展览，显示 n. 展品
millimetre	n. 毫米
interfere	v. 干涉，妨碍
behavior	n. 行为，举止
provided	conj. 假如，倘若
agreement	n. 协议，同意
marriage	n. 婚姻，结婚
kingdom	n. 王国，领域
feather	n. 羽毛
badminton	n. 羽毛球
arrival	n. 到达，到来
fifteen	num. 十五
collective	adj. 集体的 n. 集体，团体
corresponding	adj. 相应的
restless	adj. 焦躁不安的，不安的
corridor	n. 走廊，通道
daughter	n. 女儿
duration	n. 持续，期间
already	adv. 已经
logical	adj. 符合逻辑的，逻辑的
punch	v. 猛击，穿孔 n. 猛击
calculator	n. 计算器
disclose	v. 揭示，透露
neighbour	n. 邻居
further	adv. 更远地，进一步地 adj. 更远的，进一步的
discuss	v. 讨论
refresh	v. 使恢复精神，振作
vibrate	v. 颤动，震动
necklace	n. 项链
substance	n. 物质，实质，内容
fountain	n. 喷泉，源泉
surroundings	n. 环境
procession	n. 队伍，行列
pretend	v. 假装
champion	n. 冠军，拥护者
biscuit	n. 饼干
advantage	n. 优势，优点
blossom	n. 花，花朵 v. 开花
commerce	n. 商业，贸易
transmission	n. 传播，传送，发射
elsewhere	adv. 在别处
british	adj. 英国的，不列颠的
personnel	n. 人员，员工
breathe	v. 呼吸
college	n. 学院，大学
respective	adj. 各自的
imagination	n. 想象力，想象
opinion	n. 意见，看法
alphabet	n. 字母表
rack	n. 架子，行李架 v. 折磨
oceania	n. 大洋洲
moisture	n. 潮湿，湿气
investment	n. 投资
increase	v. 增加，增长 n. 增加
constitution	n. 宪法，体质
summarize	v. 概括，总结
thereby	adv. 因此，从而
cripple	n. 残疾人 v. 使残疾
cigaret	n. 香烟，纸烟
pray	v. 祈祷，请求
attraction	n. 吸引力，吸引
decrease	v. 减少 n. 减少
unknown	adj. 未知的，不知道的
lean	v. 倾斜，靠 adj. 瘦的，贫瘠的
undergraduate	n. 大学本科生
material	n. 材料，素材 adj. 物质的，实质性的
thickness	n. 厚度，密度
suspicious	adj. 可疑的，怀疑的
possibility	n. 可能性，可能的事
quarrel	n. 争吵，吵架
example	n. 例子，榜样
stability	n. 稳定，稳定性
reasonable	adj. 合理的，公道的
beneath	prep. 在…下方，低于 adv. 在下方
observation	n. 观察，观察力
moderate	adj. 中等的，适度的 v. 缓和，节制
reaction	n. 反应，反作用力
outlook	n. 观点，前景
reduction	n. 减少，缩小
childhood	n. 童年
grandmother	n. 祖母，外祖母
lightning	n. 闪电
condemn	v. 谴责，判刑
hopeful	adj. 有希望的
invisible	adj. 看不见的，无形的
electronic	adj. 电子的
australian	adj. 澳大利亚的
repeatedly	adv. 反复地，一再
explanation	n. 解释，说明
skillful	adj. 娴熟的，灵巧的
pollution	n. 污染
possession	n. 拥有，财产
employment	n. 就业，雇用，职业
difficult	adj. 困难的，难对付的
