dive	v. 跳水，潜水
penetrate	v. 穿过，渗入
passenger	n. 乘客，旅客
breadth	n. 宽度，幅度
opportunity	n. 机会，良机
precious	adj. 珍贵的，宝贵的
helpful	adj. 有帮助的，有用的
apology	n. 道歉
lighten	v. 照亮，使明亮
eleventh	adj. 第十一的
friction	n. 摩擦，摩擦力
commission	n. 委员会，佣金 v. 委托
convert	v. 转变，转化
although	conj. 尽管，虽然
submerge	v. 浸没，淹没
language	n. 语言
honourable	adj. 光荣的，可敬的
nationality	n. 国籍
spacecraft	n. 宇宙飞船
channel	n. 海峡，频道，途径
soak	v. 浸，泡
marxist	adj. 马克思主义的 n. 马克思主义者
disorder	n. 混乱，骚乱
practically	adv. 实际上，几乎
exclusively	adv. 专门地
liberty	n. 自由，许可
graceful	adj. 优美的，优雅的
hundred	num. 百 n. 许多
optical	adj. 光学的，视觉的
attentive	adj. 注意的
anybody	pron. 任何人
enlarge	v. 扩大，放大
revolutionary	adj. 革命的，革新的 n. 革命者
dismiss	v. 解雇，解散
thunder	n. 雷，雷声 v. 打雷
enclose	v. 围住，附上
introduce	v. 介绍，引进，传入
telegram	n. 电报
control	v. 控制 n. 控制
dynamic	adj. 有活力的，动力的 n. 动力
disable	v. 使伤残
comparative	adj. 比较的，相对的
doubtful	adj. 怀疑的，难以预料的
concert	n. 音乐会，演奏会
celebrate	v. 庆祝，赞美
temporary	adj. 暂时的，临时的
princess	n. 公主，王妃
comrade	n. 同志
fragment	n. 碎片 v. 成碎片
problem	n. 问题
provision	n. 供应，准备，条款
coordinate	v. 协调，调节 adj. 同等的 n. 坐标
liberate	v. 解放，释放
inefficient	adj. 效率低的
mouthful	n. 一口
optional	adj. 可选的
probability	n. 可能性，概率
possible	adj. 可能的
hostess	n. 女主人
acceptance	n. 接受，承认
recovery	n. 恢复，痊愈
importance	n. 重要，重要性
mistake	n. 错误 v. 误解，弄错
butcher	n. 屠夫，肉贩 v. 屠宰
compromise	n. 妥协，折中办法 v. 妥协
external	adj. 外部的，外面的
fraction	n. 小部分，分数
brittle	adj. 脆的
furnish	v. 布置，供应
mourn	v. 哀痛，哀悼
protect	v. 保护，保卫
airline	n. 航空公司，航线
willing	adj. 愿意的
quarter	n. 四分之一，一刻钟
lightly	adv. 轻轻地
failure	n. 失败，故障
pressure	n. 压力 v. 施加压力
remarkable	adj. 非凡的，值得注意的
company	n. 公司，同伴
politician	n. 政治家，政客
imprison	v. 监禁
practice	n. 练习，实践，业务
courage	n. 勇气，胆量
balance	v. 使平衡，权衡 n. 平衡，天平
cucumber	n. 黄瓜
husband	n. 丈夫
cordial	adj. 真诚的，诚恳的
intimate	adj. 亲密的，个人的 n. 至交 v. 暗示
battery	n. 电池
impression	n. 印象
chapter	n. 章，回
powerful	adj. 强大的，有力的
nasty	adj. 肮脏的，下流的
examine	v. 检查，仔细观察
halt	n./v. 停止
opening	adj. 开始的 n. 开始，开口，空缺
silence	n. 沉默 v. 使沉默
missile	n. 导弹
executive	adj. 执行的 n. 执行者
reliability	n. 可靠性
granddaughter	n. 孙女，外孙女
occasional	adj. 偶尔的，偶然的
fortunate	adj. 幸运的
sequence	n. 顺序，连续
recently	adv. 最近
intellectual	n. 知识分子 adj. 智力的
perhaps	adv. 也许，可能
arbitrary	adj. 随心所欲的，专断的
atlantic	adj. 大西洋的 n. 大西洋
swell	v. 膨胀，增长 n. 膨胀，隆起
experience	n. 经验，经历
creative	adj. 创造性的
perfect	adj. 完美的，完全的
affection	n. 喜爱，感情
largely	adv. 大部分
moreover	adv. 此外，而且
journal	n. 杂志，日志
minority	n. 少数，少数民族
conversation	n. 会话，谈话
factory	n. 工厂
