spectacular	adj. 壮观的，引人注目的 n. 壮观的演出
invincible	adj. 无敌的
stadium	n. 体育场
whereas	conj. 然而，尽管
adoptive	adj. 收养的
machinery	n. 机器，机械
inference	n. 推断，推理，结论
heave	v. 举起，起伏，呕吐 n. 起伏
nourish	v. 滋养，养育
surround	v. 围绕，包围
cigarette	n. 香烟
refugee	n. 难民
comparable	adj. 可比较的，类似的
presumably	adv. 大概，据推测
subject	n. 题目，学科，主语 v. 使隶属
bearing	n. 举止，方位，影响
spokesman	n. 发言人
circulation	n. 循环，流通，发行
shortcoming	n. 缺点
shrug	v. 耸肩
coordination	n. 协调
presentation	n. 报告，介绍，展示
systematical	adj. 系统的，有计划的
amateur	adj. 业余的 n. 业余爱好者，外行
assistance	n. 帮助，援助
summary	adj. 概括的 n. 摘要，概要
collaborative	adj. 合作的，协作的
cherish	v. 珍爱，怀有
prolong	v. 延长
republican	adj. 共和政体的，共和党的 n. 共和党人
writing	n. 书写，著作
fascinating	adj. 迷人的
devotion	n. 献身，奉献，热爱
anonymous	adj. 匿名的
fourfold	adv. 四倍 adj. 四倍的
publicity	n. 宣传，公众注意
according	adj. 一致的，依…而定的
modernization	n. 现代化
criminology	n. 犯罪学
controversy	n. 争论，争议
newsstand	n. 报摊
ambassador	n. 大使，使节
understanding	adj. 体谅的，通情达理的 n. 理解，谅解，协议
courtyard	n. 院子
providing	conj. 倘若
minimize	v. 减少，最小化
shallow	adj. 浅的，浅薄的 n. 浅滩
slap	v. 掌击，拍 n. 掌击
anniversary	n. 周年纪念日
persuasive	adj. 有说服力的
world-wide	adj. 遍及全球的
respect	n. 尊敬，方面 v. 尊敬
breakdown	n. 故障，崩溃，衰竭
copyright	n. 版权
biotechnology	n. 生物技术
slim	adj. 苗条的，少的 v. 变苗条
succeeding	adj. 随后的
viewpoint	n. 观点，看法
curriculum	n. 课程
species	n. 种类，物种
rob	v. 抢劫，抢夺
elderly	adj. 年长的 n. 老年人
radical	adj. 根本的，激进的 n. 激进分子
semester	n. 学期
concession	n. 让步，妥协，特许权
elective	adj. 选举的，可选的 n. 选修课
accusation	n. 指控，谴责
exclusive	adj. 独有的，排他的，高级的 n. 独家新闻
empower	v. 授权，使能够
wealthy	adj. 富有的
segment	n. 部分，片段
statistic	n. 统计数值，统计学
volunteer	v. 自愿 n. 志愿者
statement	n. 陈述，声明，报表
suicide	v. 自杀
connexion	n. 连接（英式拼法）
scold	v. 责骂，训斥
protocol	n. 礼仪，议定书
remonstrate	v. 抗议
erroneous	adj. 错误的
raid	v. 袭击，搜捕，劫掠
kindergarten	n. 幼儿园
cashier	n. 出纳
depression	n. 抑郁，萧条，洼地
competitive	adj. 竞争的，有竞争力的
enquiry	n. 询问
applause	n. 掌声
enquire	v. 询问
popularity	n. 普及，流行，声望
integrate	v. 合并，成为一体
survivor	n. 幸存者
diagnose	v. 诊断
consultancy	n. 咨询公司
homogeneous	adj. 同种类的，同性质的
popularize	v. 普及
sanction	v. 批准，认可 n. 制裁
historic	adj. 有历史意义的
fulfill	v. 履行，实现，满足
striking	adj. 显著的，引人注目的
youngster	n. 年轻人，孩子
thinking	adj. 有理性的 n. 想法，见解
delegate	n. 代表 v. 委派，委托
tradition	n. 传统
suggestion	n. 建议，暗示
astrophysics	n. 天体物理学
consumer	n. 消费者，用户
spiritual	adj. 精神的，心灵的
strategic	adj. 战略的，关键的
readily	adv. 乐意地，容易地，立即
splendid	adj. 壮丽的，极好的
respondent	n. 回答者，被告
episode	n. 插曲，片段，一集
evidently	adv. 显然
victimize	v. 使受害，迫害
scandal	n. 丑闻
horrible	adj. 可怕的，极讨厌的
recreation	n. 娱乐，消遣
allowance	n. 津贴，零用钱
attorney	n. 律师
mainframe	n. 主机，大型机
