teenager	n. 青少年
offensive	adj. 冒犯的，进攻的 n. 攻势
speculate	v. 推测，投机
acquaint	v. 使认识，使了解
intervene	v. 干涉，介入，调停
unusual	adj. 不寻常的，独特的
epidemic	adj. 流行性的 n. 流行病
accountancy	n. 会计学
forge	v. 锻造，伪造
support	v. 支持，支撑，供养 n. 支持
misconception	n. 误解
socialist	n. 社会主义者
socialism	n. 社会主义
technology	n. 技术
advertise	v. 做广告，宣传
software	n. 软件
seminar	n. 研讨会
hesitant	adj. 犹豫的
surrounding	adj. 周围的
innovative	adj. 创新的
resource	n. 资源，财力
excitement	n. 兴奋，激动，刺激
embassy	n. 大使馆
sociology	n. 社会学
flee	v. 逃跑，逃避
responsive	adj. 响应的，敏感的
snap	v. 折断，猛咬，厉声说 adj. 突然的，仓促的 n. 快照
