greet	vt.和（某人）打招呼（或问好）
introduce	vt.介绍
each other	pron.互相
go by	叫作，被称为
glad	adj.高兴
same	adj.同一的，相同的
hobby	n.业余爱好
grade	n.年级；等级
classmate	n.同班同学
friendly	adj.友好的
full	adj.（有）大量的；满的
be full of	满是......的
energy	n.精力，活力
be good at	擅长......
slim	adj.苗条的
polite	adj.有礼貌的
smart	adj.聪明的；智能的
ready	adj.愿意迅速做某事；准备好
be ready to do sth.	愿意（或准备好）做某事
other	pron.&adj.另外，其他
interested	adj.感兴趣的
be interested in	对......感兴趣
looks	n.相貌，容貌
character	n.性格
both	pron.两个都
enjoy	vt.享受......的乐趣，欣赏，喜爱
pretty	adj.漂亮的，标致的
shy	adj.腼腆的
only	adj.只有，仅
stay	v.保持，继续是
match	n.比赛
luck	n.幸运，好运
good luck	祝成功，祝好运
chess	n.国际象棋
Chinese chess	n.中国象棋
problem	n.数学题；难题，困难
weekend	n.周末
at the weekend	在周末
fun	adj.有趣的，使人快乐的
make friends with	与......交朋友
jogging	n.慢跑（尤指锻炼）
painting	n.绘画；画作
paper-cutting	n.剪纸
all kinds of	各种各样的
fit	adj.健康的
around	prep.围绕，环绕
change	v.使不同，使变换；改变，变化
life	n.个人生活；生命
museum	n.博物馆
thing	n.东西
fun	n.开心，乐趣，好玩的事
apart	adj.分开
take ... apart	拆卸，拆开（机器等）
fix	vt.修理；安装
endless	adj.无穷无尽的，不计其数的
scientist	n.科学家
dream	n.梦想；梦
true	adj.真正的，实质的；确实的
come true	实现，成为现实
paint	v.用颜料画；在...上刷油漆
club	n.社团，俱乐部
member	n.成员
geography	n.地理（学）
p.m.	abbr下午
volleyball	n.排球运动
each	pron.&adv.每个，各自
once	adv.一次
join	v.加入，与......一道去
meeting	n.集合，会面；会议
sound	v.听起来好像
plan	vt.&n.打算；计划
questionnaire	n.调查表，问卷
role	n.角色
model	n.模范，典型；模特儿
role model	楷模，行为榜样
design	vt.设计
skill	n.技能；技艺
artist	n.艺术家，（尤指）画家
master	n.能手；大师；师父
work	n.作品，著作
become	v.成为，开始变得
designer	n.设计师
would	v.想（表示愿意、喜欢、不愿意等）
would like	愿意，想要
future	n.未来
in the future	在未来
hope	v.希望
gym	n.体育馆
building	n.楼房，建筑物
field	n.运动场
sports field	n.体育场
dining	n.吃饭
hall	n.大厅，礼堂
dining hall	n.食堂，餐厅
lab	n.实验室
part	n.部分
modern	adj.现代（化）的，先进的
as well	也
bright	adj.明亮的
everyone	pron.所有人，每人，人人
perfect	adj.完美的
spend	v.度过，花（时间）；花（钱）
chat	vi.闲聊
exciting	adj.令人激动的
take place	进行，发生
noticeboard	n.布告板，告示牌
gate	n.大门
news	n.新闻；消息
board	n.布告牌；木板
like	prep.例如；像
more	pron.&adv.更多的，更大的；更，更多
trust	vt.相信
really	adv.很，十分，真正地
soon	adv.很快，马上
teach	v.教（课程），讲授
team	n.队；组
form teacher	n.班主任
show	n.演出；展览；节目；音乐会
grey	adj.&n.灰色的；灰色
different	adj.不同的
thousand	num.一千
fact	n.事实
in fact	确切地说；事实上
borrow	vt.借
newspaper	n.报纸
magazine	n.杂志
else	adv.其他的，别的
care	vi.关心
care about	关心
event	n.公开活动；发生的事情
together	adv.在一起，共同
quite	adv.相当；非常
large	adj.大的
special	adj.特殊的，特别的
a.m.	abbr上午
get up	起床
activity	n.活动
housework	n.家务劳动，家务事
homework	n.家庭作业
weekday	n.周工作日
on weekdays	在工作日
usually	adv.通常地
jog	n.慢跑
a little	一点，少量；少量的，一些
myself	pron.我自己，亲自
enjoy oneself	玩得痛快，得到乐趣
first	adv.第一，首先
term	n.学期；期
start	v.（从......）开始；开始，着手
writer	n.作家
language	n.语言
amazing	adj.令人大为惊奇的
biology	n.生物学
living	adj.活着的，活的
nature	n.大自然；天性
practise	v.训练，练习
field	n.田，地；领域
trip	n.旅行
field trip	n.野外考察，实地考察
leave	161动身去，到......地方去
leave for	动身去，到......地方去
pick	vt.采，摘；挑选
of course	当然
seldom	adv.很少
tennis	n.网球运动
roller skate	vi.滑旱冰，溜旱冰
grow	v.（使）生长，发育
tour	n.参观；旅行
website	n.网站
video	n.视频
outside	adv.在（向）外面
peace	n.平静；和平
quiet	n.宁静，平静
teamwork	n.团队合作
better	adj.更好的
tiring	adj.累人的
duty	n.职责，任务；责任，义务
area	n.区域；面积；领域
take part in	参加
through	prep.以，凭借；通过；穿过
group	n.组，群，批
turn	n.（依次轮到的）机会
take turns	轮流
empty	vt.倒空，腾空
bin	n.垃圾桶
care	n.照顾；小心
take care of	照顾，照料
something	pron.某事，某物
lifestyle	n.生活方式
cucumber	n.黄瓜
lemon	n.柠檬
watermelon	n.西瓜
pepper	n.甜椒；胡椒粉
chocolate	n.巧克力
beef	n.牛肉
carrot	n.胡萝卜
pork	n.猪肉
sweet	n.糖果；甜食
snack	n.点心，小吃
health	n.健康
delicious	adj.美味的
important	adj.重要的
diet	n.日常饮食
without	prep.没有
pancake	n.烙饼，薄饼
tofu	n.豆腐
sugar	n.食糖
tooth	n.牙，齿
teeth	n.（复数）牙，齿
homebody	n.喜欢待在家里的人
mutton	n.羊肉
sweet	adj.甜的；可爱的
have a sweet tooth	v.爱吃甜食
stay	vi.停留，逗留
stay up	熬夜
unhealthy	adj.不健康的
need	vt.需要
enough	pron.&adv.足够（的）；足够地；相当
less	pron.&adv.较少的，更少的；少；较少
cheese	n.奶酪
piece	203n.日常饮食
bowl	n.一碗（的量）；碗
salt	n.盐
packet	n.小袋；小包装纸袋
kilo	n.千克，公斤
carton	n.硬纸盒，塑料盒
bottle	n.一瓶（的量）；瓶子
maybe	adv.也许；大概
than	prep.&conj.比
almost	adv.几乎
chip	n.炸薯条；炸薯片
smartphone	n.智能手机
tablet	n.平板电脑
score	n.分数，成绩；比分
point	n.得分，要点；观点；地点
change	n.改变，变化
meal	n.一餐所吃的食物；一顿饭
porridge	n.粥；麦片粥
whole	adj.全部的；整个的
miss	vt.错过
rest	n.休息时间
pie	n.馅饼
yogurt	n.酸奶
most	pron.&adv.大多数，几乎所有；最大，最多
style	n.样式；方式，作风
blouse	n.女式衬衫
jacket	n.夹克衫
jeans	n.牛仔裤
scarf	n.围巾
tie	n.领带
T-shirt	n.T恤衫
calm	adj.镇静的，沉着的
fashion	n.时装业；流行
choose	v.选择
could	v.能，可以（礼貌地请求或征询许可）
advice	n.建议
depend	vi.取决于
depend on	取决于；依靠
skin	n.皮肤
such as	例如；诸如......之类
purple	n.&adj.紫色；紫色的
similar	adj.相似的
example	n.例子
for example	例如
dark	adj.深色的；黑暗的
mix	v.混合
stand out	突出，显眼
match	v.般配，相配
suitable	adj.合适的，适宜的
formal	adj.适合正式场合的，庄重的；正式的
suit	n.套装，西服
casual	adj.非正式的，随便的
comfortable	adj.舒适的
primary	adj.初等教育的，小学教育的
smart	adj.衣冠楚楚的，衣着讲究的
date	n.日期
traditional	adj.传统的
popular	adj.广受欢迎的；流行的
type	n.类型，种类
festival	n.节日；节
wedding	n.婚礼
just	adv.仅仅，只不过；正好
culture	n.文化
country	n.国家
history	n.历史
loose	adj.宽松的
belt	n.腰带，皮带
close-fitting	adj.紧身的
be made of	由…...制成
silk	n.丝绸
feel	v.摸起来
smooth	adj.光滑的
soft	adj.软的，柔软的
cotton	n.棉织物，棉布；棉花
agree	v.同意
feature	n.特点，特色
material	n.布料；材料，原料
leather	n.皮革
size	n.尺码；大小
wise	adj.明智的
yuan	n.元（中国货币单位）
euro	n.欧元（欧盟中某些国家的货币单位）
pound	n.英镑（英国货币单位）
yen	n.日元（日本货币单位）
rouble	n.卢布（俄罗斯货币单位）
dollar	307n.钥匙
key	n.钥匙
ring	n.环状物，图形的东西
baseball	n.棒球运动；棒球
Russian	adj.俄罗斯（人）的，俄语的
set	n.一套，一副，一组（类似的东西）
a set of	一套，一副，一组
inside	prep.在（向）里面
another	pron.&det.另一，又一
colourful	adj.五彩缤纷的；丰富多彩的
surprise	n.令人惊奇的事情(或消息等)
player	n.运动员
protect	v.保护，防护
mall	n.购物商场
across	prep.在......对面；从......一边到另一边；遍及
cost	vt.需付费，价钱为
manage	v.明智地使用；管理
budget	n.预算
cover	vt.足以支付，够付；覆盖
education	n.教育
pay	v.付款
pay for	支付
flat	n.（英）公寓
daily	adj.每日的
need	n.需要的事物；需要
per cent	n.百分之......
expensive	adj.昂贵的
save	v.储蓄；节省
bank	n.银行
account	n.账户
rainy	adj.阴雨的
matter	vi.要紧，有重大影响
pocket	n.口袋
pocket money	n.零花钱
notebook	n.笔记本
rest	n.剩余部分；其他
strawberry	n.草莓
bookshop	n.书店
eraser	n.（美）橡皮
as	prep.作为，当作
present	n.礼物
away	348n.壳；骨架
shell	n.壳；骨架
deal	n.交易
coin	n.硬币
online	adv.在线上，在网上
lucky	adj.带来好运的；幸运的
lucky money	n.压岁钱
grandparent	n.（外）祖父，（外）祖母
relative	n.亲戚
send	vt.发送
online	adj.线上的，网上的
red packet	n.红包
survey	n.民意调查；概述
in need	在贫困中，在困难中
as	conj.正如，如同
beginning	n.开头，开端
habit	n.习惯
celebrate	v.庆祝；颂扬
Christmas	n.圣诞节
remember	vt.纪念；记住
poet	n.诗人
dragon	n.龙
dragon boat	n.龙舟
race	n.速度竞赛，赛跑
dumpling	n.汤团，饺子
rice dumpling	n.棕子
Scottish	adj.苏格兰（人）的
haggis	n.哈吉斯（一种苏格兰美食）
dish	n.一道菜，菜肴
poem	n.诗，韵文
lady	n.女士；淑女
gentleman	n.先生；绅士
spread	v.（使）分散；传播
doorstep	n.门阶
hang	v.悬挂
onion	n.洋葱
Greek	adj.希腊（人）的，希腊语的
tradition	n.传统
symbol	n.象征；符号
midnight	n.午夜
strike	v.敲，鸣，报时；撞击
into	prep.进入，到......里面
in the hope of	希望
ahead	adv.在前面，向前
carry	vt.拿，提，搬，携带
suitcase	n.（旅行用的）手提箱
block	n.街区
traveller	n.旅行者，游客
wherever	conj.在任何地方
violin	n.小提琴
lively	adj.轻快的；生气勃勃的
spring roll	n.春卷
moment	n.某个时刻；瞬间，片刻
at the moment	现在，当时
tonight	adv.在今晚
lantern	n.灯笼
mountain	n.高山，山岳
climb	v.攀登，爬
natural	adj.自然的
beauty	n.美；美人
respect	n.尊敬
elder	n.长者，长辈
double	adj.双的；两倍的
forever	adv.永远
decorate	vt.装饰
put up	张贴，挂起
Spring Festival couplets	n.春联
beforehand	adv.事先，预先
prepare	v.预备（饭菜）；把......预备好
meaning	n.意义，意思
during	prep.在…...期间
last	vi.持续
till	prep.&conj.到......时，直到…...为止
heart	n.内心；心脏
cottage	n.（尤指）村舍,小别墅
farmhouse	n.农场住宅, 农舍
mobile	adj.可移动的
mobile home	n.活动住房
town	n.镇, 市镇
town house	n.联排式住宅
west	n.&adj.&adv.西方;西方的; 向西
hundred	num.许多, 大量; 一百
study	n.书房
relaxing	adj.令人放松的,轻松的
bedroom	n.卧室
own	adj.&pron.自己的,本人的
south	n.平方米
balcony	n.阳台
view	n.风景; 看法
mile	n.英里
relax	vi.放松, 休息
living room	n.客厅, 起居室
ahlan	你好(阿拉伯语问候语)
village	n.村庄, 村镇
carpet	n.地毯
next to	prep.紧邻, 在…近旁
yard	n.院子
hen	n.母鸡
collect	vt.收集, 采集
firework	n.烟火, 烟花
BBQ	abbr.（缩写）户外烧烤; 烤架
barbecue	abbr.户外烧烤; 烤架
zero	num.零
square	adj.平方
metre	n.米
square metre	13n.平方米
number	n.号码; 数字; 数量
million	num.一百万
calendar	n.历法; 日历
lunar calendar	n.农历, 阴历
seaside	n.海边, 海滨
east	n.&adj.&adv.东方;东方的; 向东
stone	n.石头; 石块
seagrass	n.海草
hold	vi.承受住, 坚持住
hold up	支撑得住
wind	n.风, 气流
south-west	n.&adj.&adv.西南方;西南方的; 向西南方
bamboo	n.竹, 竹子
ground	n.底层, 一楼
grassland	n.草原, 草地, 草场
north	n.&adj.&adv.北方;北方的; 向北
tent	n.帐篷
wood	n.木, 木头
build	vi.&vt.建筑, 建造
fishing	n.钓鱼, 捕鱼业(或活动)
dry	adj.干燥的, 干的
ride	vt.&vi.骑,驾驶,搭乘
centre	n.（市镇的）中心区;中心
bathroom	n.浴室; 〈美〉卫生间
smell	vt.闻, 嗅（气味）
sky	n.天空
