diet	日常饮食；节食
food	食物
meal	一餐；一顿饭
breakfast	早餐
lunch	午餐
dinner	晚餐；正餐
eat	吃
rice	米饭；大米
noodle	面条（常用复数 noodles）
dumpling	饺子；汤团
pie	馅饼；派
bread	面包
hamburger	汉堡包
sandwich	三明治
pizza	比萨饼
salad	沙拉
meat	肉
beef	牛肉
egg	蛋；鸡蛋
fruit	水果
apple	苹果
banana	香蕉
grape	葡萄
pear	梨
peach	桃子
strawberry	草莓
vegetable	蔬菜
carrot	胡萝卜
onion	洋葱
potato	土豆；马铃薯
tomato	西红柿；番茄
bake	烘；烤
cake	蛋糕
corn	玉米；谷物
bean	豆子；豆荚
lick	舔
ice cream	冰淇淋
candy	糖果
chocolate	巧克力
cheese	奶酪；干酪
sausage	香肠
drink	喝；饮料
water	水
milk	牛奶
coffee	咖啡
tea	茶
cola	可乐
juice	果汁
soup	汤
dish	菜肴；盘子
chopstick	筷子（常用复数 chopsticks）
knife	刀
fork	餐叉
spoon	勺子；汤匙
plate	盘子
bowl	碗
cup	杯子
glass	玻璃杯；玻璃
sweet	甜的；糖果
smell	闻；气味
clothes	衣服；服装
wear	穿；戴
coat	外套；大衣
jacket	夹克衫
sweater	毛衣
shirt	（男式）衬衫
T-shirt	T 恤衫
dress	连衣裙；穿
skirt	短裙
trousers	裤子
pants	裤子
shorts	短裤
pocket	口袋
sock	短袜
shoe	鞋
cap	鸭舌帽；便帽
hat	（带檐的）帽子
scarf	围巾
glove	手套
glasses	眼镜
fair	公平的；集市
fit	适合；合身；健康的
buy	买
take	拿走；乘坐；花费
sell	卖；出售
sale	出售；特价销售
find	找到；发现
choose	选择
decide	决定
spend	花费（时间、金钱）
cost	花费；价钱为
pay	支付；付款
size	尺码；大小
price	价格
money	钱
dollar	美元
cent	美分；分
expensive	昂贵的
cheap	便宜的
beautiful	美丽的；漂亮的
body	身体
head	头
hair	头发
face	脸
eye	眼睛
ear	耳朵
nose	鼻子
mouth	嘴
tooth	牙齿
tongue	舌头
back	背部；回来
arm	胳膊
hand	手
leg	腿
foot	脚
toe	脚趾
tall	高的
short	矮的；短的
thin	瘦的；薄的
fat	胖的
heavy	重的
healthy	健康的
